,Unnamed: 0,name,Accessory,Background,Body,Eyes,Fur,Head,Mouth,trait_5_rarity,trait_2_rarity,trait_0_rarity,trait_3_rarity,trait_1_rarity,Head_rarity,trait_4_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
1468,1468,Ape #4790,,Mint,Meme,Confident,Chocolate,Backwards Ball Cap,Ecstatic,75.97,10.28,0.14,5.48,16.6,7.4700000000000015,6.260000000000002,1469,4.651005555791572e-09,0.14,17.45714285714286,6,Awy9p4nUVj4XXFyNqGUTxYQKjSbUah4iuBiCvyCKZfrR,30.696728
6,6,Ape #4574,Earring,Sky,Caring,Content,Aquatic,,Grin,5.1400000000000015,10.09,0.41,6.13,1.95,8.01,6.78,7,1.3803697638939244e-10,0.41,5.501428571428572,6,BXCEK4A14xDjvYYojvAvdBiuCRvo9naA5Swt478xuJ7K,28.921658
2237,2237,Ape #1759,,Violet,Caring,Anger,Tamarin,,Pout,75.97,9.89,0.41,6.17,9.86,8.01,6.3100000000000005,2238,9.472099010569266e-09,0.41,16.66,5,AnJ29cQRJcXovwnyNSNkFakTq2usK3u4YhRgDDzZ6NEo,28.881203
2400,2400,Ape #9077,,Forest,Meme,Neutral,Cream,,Grin,75.97,9.62,0.14,11.98,16.68,8.01,6.78,2401,1.1103510521326085e-08,0.14,18.454285714285714,5,6G6rwCqef14i4NSb6zj18xT8z2DjzDeYmggAy6cdR5Ki,28.631605
1304,1304,Ape #9970,,Forest,Bullish,Content,Aquatic,Snapback,Ecstatic,75.97,9.62,0.76,6.13,1.95,9.77,6.260000000000002,1305,4.0606426660253325e-09,0.76,15.78,6,GySoWBRDpB98hwsNAFCL2Q2i7iacBvrYyZsgANCqkTDr,28.613451
187,187,Ape #561,Diamond Studs,Creamsicle,Caring,Paranoid,Cream,,Confused,3.4799999999999995,10.41,0.41,6.03,16.68,8.01,6.88,188,8.232810952173278e-10,0.41,7.4142857142857155,6,8yNpoDWC4yEnvhGuybDTTS67DkhH7DVT7EjBC99PAgXw,28.609442
2892,2892,Ape #3810,,Scarlet,Caring,Unimpressed,Coffee,,Ponder,75.97,9.87,0.41,5.7700000000000005,19.44,8.01,6.2799999999999985,2893,1.7346320618741426e-08,0.41,17.964285714285715,5,B47t9eE62HR433QoGDRCVnRbzcJER4YjaYvjdr33cbxN,28.518639
2128,2128,Ape #648,,Wheat,Hoodie Hooded,Blank Stare,Cream,,Ponder,75.97,9.67,0.23,6.04,16.68,8.01,6.2799999999999985,2129,8.562913979486655e-09,0.23,17.554285714285715,5,9y1U4jxEoagiXcAHmjmPkNcs1H4SnvsV7mp1sr9o68dZ,28.18167
2812,2812,Ape #3354,,Scarlet,Caring,Unimpressed,Chocolate,,Cheeky,75.97,9.87,0.41,5.7700000000000005,16.6,8.01,6.909999999999998,2813,1.629812335270827e-08,0.41,17.64857142857143,5,8twjdhehkypgPbEpyDJJS2JNoSSAFQzabnKRWbPc1LD,28.160795
2780,2780,Ape #2986,,Scarlet,Caring,Relaxed,Chocolate,,Annoyed,75.97,9.87,0.41,5.81,16.6,8.01,6.63,2781,1.5746114339184623e-08,0.41,17.614285714285714,5,242pDhyusKZXMY27fhh5ejmAPbvMnrg3pUuKe7cMyEyY,28.013376
2392,2392,Ape #1537,,Wheat,Caring,Unimpressed,Silverback,,Ecstatic,75.97,9.67,0.41,5.7700000000000005,12.62,8.01,6.260000000000002,2393,1.09975127605269e-08,0.41,16.958571428571428,5,Ee3zHjXj5SXvqGf4o84o8SbGf3CHQ3ugWChrJMNLLMWb,27.85345
2510,2510,Ape #9489,,Lime,Caring,Relaxed,Silverback,,Confused,75.97,9.81,0.41,5.81,12.62,8.01,6.88,2511,1.2346715247573442e-08,0.41,17.072857142857142,5,4FLDoY8vcFbGZCZtAP4fHgczm7TW6eNzMUoJzoLFthwY,27.628721
1047,1047,Ape #1709,,Forest,Bullish,Worry,Magma,Backwards Flat Cap,Blep,75.97,9.62,0.76,6.0600000000000005,2.07,6.81,6.93,1048,3.288168820277491e-09,0.76,15.46,6,BAJctiznMn7hGfyxgeiXEXMZCLSefnnRRNC4TpcfKQNK,27.416414
9,9,Ape #5429,Bar,Snow,Hoodie Hooded,Mmmmkay,Tattoo,,Ponder,3.5700000000000003,10.26,0.23,5.94,6.81,8.01,6.2799999999999985,10,1.7142301515222466e-10,0.23,5.871428571428571,6,A64sFNWSBHePXTxKuscbTwmHbwBvjW2cmH8LBaXjHNso,27.292244
3069,3069,Ape #829,,Wheat,Caring,Anger,Coffee,,Woah,75.97,9.67,0.41,6.17,19.44,8.01,6.8599999999999985,3070,1.9851371352079603e-08,0.41,18.07571428571429,5,8orhabHPXMURRFQSMsCZ81mPSV4V9emxkz2v32tYMFhE,27.288635
2735,2735,Ape #29,,Wheat,Caring,Paranoid,Cream,,Ecstatic,75.97,9.67,0.41,6.03,16.68,8.01,6.260000000000002,2736,1.519052084335475e-08,0.41,17.575714285714287,5,4XxeLrkTg2mGoWjEeo9Z6dzC3ubhEQGNgCPC5hDpiUWu,27.27274
79,79,Ape #1415,Hoops,Wheat,Caring,Content,Chocolate,,Blep,2.28,9.67,0.41,6.13,16.6,8.01,6.93,80,5.105984487714691e-10,0.41,7.147142857142858,6,wxspQ2E7XMSf8LNZpUvBU6Gydac6qAimQB9Qbb6ZnDb,27.222406
1,1,Ape #4692,Bar,Wheat,Hoodie Hooded,Blank Stare,Cosmic,,Disgusted,3.5700000000000003,9.67,0.23,6.04,3.55,8.01,6.64,2,9.054999138715186e-11,0.23,5.387142857142856,6,GqT8gsZasRkjBHCfHTLpML3hEBV2xFteYdCCWFeW2KGN,27.058893
5648,5648,Ape #134,,Lime,,Paranoid,Tamarin,,Ponder,75.97,9.81,3.1300000000000003,6.03,9.86,8.01,6.2799999999999985,5649,6.976568427550392e-08,3.1300000000000003,17.012857142857143,4,Dfb2dHYNQfjniKpC3WqzKVvXuFELT2HcBc17DmsEAG7x,26.903883
24,24,Ape #329,Earring,Creamsicle,Hoodie Hooded,Bold,Tattoo,,Annoyed,5.1400000000000015,10.41,0.23,5.89,6.81,8.01,6.63,25,2.621501651889806e-10,0.23,6.160000000000001,6,DU9znjsXZ44fr4ZBj1DExVQTL87upnfSETHXifAtAbEB,26.899855
83,83,Ape #1154,Diamond Studs,Violet,Caring,Mmmmkay,Silverback,,Ponder,3.4799999999999995,9.89,0.41,5.94,12.62,8.01,6.2799999999999985,84,5.321050148505251e-10,0.41,6.661428571428572,6,7dkzgBYfFy9CcNkg51DWwVpftvNbrqhn5Pk3xe12eRau,26.80847
7490,7490,Ape #135,,Scarlet,,Confident,Chocolate,,Woah,75.97,9.87,3.1300000000000003,5.48,16.6,8.01,6.8599999999999985,7491,1.1731374391046214e-07,3.1300000000000003,17.98857142857143,4,GEqFDTNdiyQ5W33ZE5SY5JTHM6ksBrCKvQvCekVP6WPe,26.644836
2299,2299,Ape #195,,Snow,Hoodie Hooded,Confused,Cream,,Confused,75.97,10.26,0.23,6.11,16.68,8.01,6.88,2300,1.0068749450498596e-08,0.23,17.734285714285715,5,Y9eadwTM9asvitvkaDpdYW1pWKMq22qZMTJ1GNG5Lwg,26.466389
2271,2271,Ape #5208,,Rose,Caring,Side Glance,Tamarin,,Pout,75.97,10.1,0.41,6.19,9.86,8.01,6.3100000000000005,2272,9.70458115513403e-09,0.41,16.692857142857143,5,Et6WdoMn7pr7GPyudf6fWacV91n7dYCvWkgtEYYCyTZi,26.435291
2,2,Ape #1973,Diamond Studs,Sky,Hoodie Hooded,Mmmmkay,Cosmic,,Grin,3.4799999999999995,10.09,0.23,5.94,3.55,8.01,6.78,3,9.248584187562431e-11,0.23,5.44,6,En6pNYzkmCAwpeNtNYeanZAxC1vUmPbJbtiTGn4nimeD,26.376999
70,70,Ape #125,Diamond Stud,Snow,Hoodie Hooded,Side Glance,Chocolate,,Disgusted,3.76,10.26,0.23,6.19,16.6,8.01,6.64,71,4.849113776397627e-10,0.23,7.3842857142857135,6,5JRyqp4PCH3ZpzXYiuybPqT31di7Tjg6ga2uKycCwhv3,25.895271
2413,2413,Ape #225,,Sky,Hoodie Hooded,Side Glance,Coffee,,Annoyed,75.97,10.09,0.23,6.19,19.44,8.01,6.63,2414,1.1266631312344088e-08,0.23,18.08,5,J59xkftU6by3jqZbmAbDEnkRp1q8m2BxpLQvuoC9x2Wr,25.845882
2196,2196,Ape #271,,Rose,Caring,Zen,Tamarin,,Woah,75.97,10.1,0.41,5.37,9.86,8.01,6.8599999999999985,2197,9.152825643043155e-09,0.41,16.654285714285713,5,GWa4K345WikHw5chCCtEqUmyEgSsrfMBxzcdWUoraf6u,25.828957
2314,2314,Ape #2603,,Rose,Caring,Blank Stare,Tamarin,,Grin,75.97,10.1,0.41,6.04,9.86,8.01,6.78,2315,1.0174742345537756e-08,0.41,16.73857142857143,5,EwKypLGgwGEhZJa8pQy1cNh99v6p7LKFkdzeKMbrfaoH,25.550762
2188,2188,Ape #525,,Mint,Hoodie Hooded,Blank Stare,Chocolate,,Ponder,75.97,10.28,0.23,6.04,16.6,8.01,6.2799999999999985,2189,9.059417273449732e-09,0.23,17.630000000000006,5,C4Jde95KUQz4GUaNSszStVr1NNGt4HYLbh27LfMBcRUM,25.492407
2767,2767,Ape #8823,,Sky,Caring,Mmmmkay,Cream,,Ecstatic,75.97,10.09,0.41,5.94,16.68,8.01,6.260000000000002,2768,1.561372370375165e-08,0.41,17.622857142857143,5,129gh2aj7oQadTuwJubmgt9TrPNLCXpT8JTjSpvyWUzg,25.385155
65,65,Ape #148,Hoops,Mint,Caring,Mischievous,Chocolate,,Grin,2.28,10.28,0.41,5.38,16.6,8.01,6.78,66,4.66084212020874e-10,0.41,7.105714285714287,6,ChhduS6PN6Se9DwJVjBxibtHPZpgRxGt8eotkRxBSMPV,25.151253
32,32,Ape #2838,Diamond Studs,Lime,Caring,Neutral,Synth,,Disgusted,3.4799999999999995,9.81,0.41,11.98,3.49,8.01,6.64,33,3.1125400512326205e-10,0.41,6.26,6,EoprQU4HzxJHBhWoCxZKaEaTgkusoXJ126XkFaRNBXsT,24.995346
3142,3142,Ape #5236,,Creamsicle,Caring,Mmmmkay,Tamarin,,Smile,75.97,10.41,0.41,5.94,9.86,8.01,13.8,3143,2.0991896433260284e-08,0.41,17.771428571428572,5,6eQhNGGuao1XfJkhM47pngDtcchqsauWfAYEnkjvBK9b,24.55671
3943,3943,Ape #762,,Mint,Caring,Relaxed,Chocolate,,Smile,75.97,10.28,0.41,5.81,16.6,8.01,13.8,3944,3.413618006351175e-08,0.41,18.697142857142858,5,9YwGuQiVAXyghAqS4rrVeYRQDgYoatMwaZUkgThBH2DH,24.463839
3403,3403,Ape #843,,Mint,Caring,Confident,Silverback,,Smile,75.97,10.28,0.41,5.48,12.62,8.01,13.8,3404,2.4477700333454166e-08,0.41,18.08142857142857,5,6UEVJ71x46UtBGop4HNzTszb4jfjH19fwavUPedYtumz,24.363861
2748,2748,Ape #178,,Creamsicle,Hoodie Hooded,Blank Stare,Silverback,,Smile,75.97,10.41,0.23,6.04,12.62,8.01,13.8,2749,1.5325991767914768e-08,0.23,18.154285714285713,5,AMZDcR2BN6LLkaV425xrqQdrAoBtzMeDT1t9LZ5HgnFQ,24.351238
4014,4014,Ape #350,,Mint,Caring,Blank Stare,Cream,,Smile,75.97,10.28,0.41,6.04,16.68,8.01,13.8,4015,3.5658550485189966e-08,0.41,18.74142857142857,5,GwbHhFE3mRzG4M6ZQ7FpeD344wPbgVtuSr1bgn3LhasZ,24.311132
4316,4316,Ape #3332,,Rose,Caring,Anger,Coffee,,Smile,75.97,10.1,0.41,6.17,19.44,8.01,13.8,4317,4.1710018648232124e-08,0.41,19.12857142857143,5,95e5jWEW8uCX47M1TTAwk1bweKeVcmM8XQrLnaTiAzm2,24.247232
2369,2369,Ape #6143,,Creamsicle,Meme,Mischievous,Coffee,Headphones,Smile,75.97,10.41,0.14,5.38,19.44,6.75,13.8,2370,1.0786543198120671e-08,0.14,18.84142857142857,6,ApmBNd7vCXZPuX8b4tnyezMACUb82Ae66Vfepu2TgQzs,24.154636
11,11,Ape #321,Hoops,Lime,Meme,Mischievous,Cream,Winter Beanie,Grin,2.28,9.81,0.14,5.38,16.68,9.93,6.78,12,1.8918606946685887e-10,0.14,7.2857142857142865,7,5KoMXmdK9Apnzs42dYmVxZh6qHLn1wmdHZU2wzZcrqTL,24.012201
4213,4213,Ape #422,,Snow,Caring,Neutral,Coffee,,Unimpressed,75.97,10.26,0.41,11.98,19.44,8.01,6.63,4214,3.9525053552689665e-08,0.41,18.957142857142856,5,GEuPf1tkx8z9iGA43QL5UjvGaXgq8qfVJ8CaLwuvzen4,23.973621
2286,2286,Ape #227,,Snow,Hoodie Hooded,Bewildered,Coffee,,Ecstatic,75.97,10.26,0.23,5.65,19.44,8.01,6.260000000000002,2287,9.87344885635302e-09,0.23,17.974285714285713,5,62a8kHJWBqawGdGzsXPqjcyDKrAanxFmTiRMhE9PnW7H,23.821959
2487,2487,Ape #8928,,Snow,Meme,Paranoid,Coffee,Backwards Flat Cap,Smile,75.97,10.26,0.14,6.03,19.44,6.81,13.8,2488,1.2021462164506026e-08,0.14,18.92142857142857,6,CrWj6CPWQmPPTA5aLVC2vHz5R2qyDTh5G7LSXneqTZjQ,23.801756
4043,4043,Ape #1411,,Mint,Caring,Content,Cream,,Smile,75.97,10.28,0.41,6.13,16.68,8.01,13.8,4044,3.61898865023534e-08,0.41,18.754285714285714,5,8ZsT5vdxfKYbX1ZqFhhN7VgBr449f1hoHYCCCbrH7X8G,23.740906
4270,4270,Ape #5075,,Sky,Caring,Paranoid,Coffee,,Smile,75.97,10.09,0.41,6.03,19.44,8.01,13.8,4271,4.0723240072673465e-08,0.41,19.107142857142858,5,Edw3PFh9JqZfujXnC72rLuukzBExosd2WkTWFr19fsVA,23.099495
3534,3534,Ape #9845,,Sky,Caring,Neutral,Silverback,,Woah,75.97,10.09,0.41,11.98,12.62,8.01,6.8599999999999985,3535,2.6108982918703594e-08,0.41,17.991428571428575,5,9XZMKVu4m5Uea3eyEzkgu9cTfcR1aNiPT8pnqeqeqg4h,23.032148
4913,4913,Ape #102,,Sky,,Bold,Synth,,Smile,75.97,10.09,3.1300000000000003,5.89,3.49,8.01,13.8,4914,5.4516749601160585e-08,3.1300000000000003,17.197142857142858,4,AByTRwz6ZGd6Zeym4hqGPyBGc5xPvm2wnnoyeskhsRd6,22.82904
9684,9684,Ape #22,,Creamsicle,,Anger,Coffee,,Smile,75.97,10.41,3.1300000000000003,6.17,19.44,8.01,13.8,9685,3.28193685250167e-07,3.1300000000000003,19.56142857142857,4,J5rYpAQUSHUh2Fpz2h9c8VXzm5UBUe9wCPjC12ic6LJ8,22.390867
4873,4873,Ape #1313,,Scarlet,,Worry,Tattoo,,Cheeky,75.97,9.87,3.1300000000000003,6.0600000000000005,6.81,8.01,6.909999999999998,4874,5.360853216786225e-08,3.1300000000000003,16.68,4,9ttZ5fgQqVzNUauUeFWHvFVD5yb8aoHZoFVMEpXpnyPg,20.15289
