,Unnamed: 0,name,Accessory,Background,Body,Eyes,Fur,Head,Mouth,trait_5_rarity,trait_2_rarity,trait_0_rarity,trait_3_rarity,trait_1_rarity,Head_rarity,trait_4_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
6015,6015,Ape #3860,,Forest,Overcoat,Side Glance,Silverback,Backwards Flat Cap,Unimpressed,75.97,9.62,3.04,6.19,12.62,6.81,6.63,6016,7.836126283901923e-08,3.04,17.268571428571427,6,H4bYt8ucSqkSPjA1UZM1qV1Vbfn1uF3q8oNfLWQEmpUE,7.4916945
1762,1762,Ape #7919,Earrings,Snow,Turtleneck,Mischievous,Coffee,Backwards Ball Cap,Woah,3.45,10.26,3.22,5.38,19.44,7.4700000000000015,6.8599999999999985,1763,6.1086547644640085e-09,3.22,8.01142857142857,7,6r3sZ7yfaqawBy2J5N6ddASAYquaTD5Q6VSkyMS2pDHf,7.491683
9683,9683,Ape #2684,,Creamsicle,Short Sleeve Buttondown,Worry,Chocolate,Ivy Cap,Smile,75.97,10.41,5.18,6.0600000000000005,16.6,5.7700000000000005,13.8,9684,3.2813928497824647e-07,5.18,19.11285714285714,6,DjZzHZW1JR3qNfTxxKr36chCW3g7Gk1CtW8sSZ98SrbZ,7.491656
8168,8168,Ape #2483,,Snow,Tracksuit,Mischievous,Chocolate,Backwards Flat Cap,Smile,75.97,10.26,2.23,5.38,16.6,6.81,13.8,8169,1.4588509154590686e-07,2.23,18.721428571428564,6,8ue4QSsC6uzB2aEYz8xaVbwAvdJgVFCFUvQ2sws7jb7e,7.491637
6471,6471,Ape #8800,,Mint,Crewneck,Content,Silverback,Backwards Ball Cap,Woah,75.97,10.28,2.89,6.13,12.62,7.4700000000000015,6.8599999999999985,6472,8.947416019050672e-08,2.89,17.46,6,E5CfHodGqcwmpCQ5snocaKukM6FM5KUqd3pzDG8W1yBG,7.491551
3793,3793,Ape #1117,,Wheat,Overalls,Bold,Tattoo,Flat Cap,Loathing,75.97,9.67,2.36,5.89,6.81,7.06,6.3100000000000005,3794,3.0979690199754957e-08,2.36,16.295714285714286,6,4Afm16eTPyNDGzMf36b6HrMbuephFdBJYZkr5iRip35r,7.4915495
3799,3799,Ape #2616,,Wheat,Suit,Confused,Cream,,Blep,75.97,9.67,0.75,6.11,16.68,8.01,6.93,3800,3.1169717855899886e-08,0.75,17.731428571428573,5,6BwMULe9HXc5Z1NU3mLpU4SHtgEqkVemLeEuabafszxF,7.4914975
8304,8304,Ape #757,,Wheat,Down Jacket,Anger,Coffee,,Unimpressed,75.97,9.67,3.27,6.17,19.44,8.01,6.63,8305,1.5301845838378046e-07,3.27,18.451428571428565,5,7R5JWkVpPUZLKVGb3F5RvsWADkJpGx7MjqvYrepqHJWa,7.4914417
1076,1076,Ape #8818,Studded,Wheat,Hooded Jacket,Side Glance,Cream,Visor,Confused,2.35,9.67,3.14,6.19,16.68,6.67,6.88,1077,3.380842598995593e-09,2.35,7.368571428571429,7,2QDTW63qdaA2Mz83spArjPmmvqmNpRTVeMp84mr17iEb,7.49136
6826,6826,Ape #4399,,Lime,Turtleneck,Unimpressed,Coffee,Ivy Cap,Loathing,75.97,9.81,3.22,5.7700000000000005,19.44,5.7700000000000005,6.3100000000000005,6827,9.800410154589588e-08,3.22,18.041428571428565,6,CPzFZYqihydu1F3LETysdPPYxYSSPY476x9y5RtgnmBW,7.4912796
9335,9335,Ape #9895,,Forest,Turtleneck,Neutral,Coffee,Headphones,Unimpressed,75.97,9.62,3.22,11.98,19.44,6.75,6.63,9336,2.4526944594079597e-07,3.22,19.08714285714285,6,mHuhTNtu2ivTaKBY4dj4ApvUwg9sJ2b1d6jzaVvbLur,7.491199
7405,7405,Ape #8051,,Snow,Down Jacket and Scarf,Bold,Cream,Backwards Ball Cap,Loathing,75.97,10.26,3.17,5.89,16.68,7.4700000000000015,6.3100000000000005,7406,1.1442213619880824e-07,3.17,17.964285714285715,6,8gQhn44rfmMyWV2rYJM2C8mBY5BGACCWZBesNGDFSNeA,7.4911857
8881,8881,Ape #3856,,Rose,Pullover,Unimpressed,Cream,Snapback,Bewildered,75.97,10.1,3.88,5.7700000000000005,16.68,9.77,6.78,8882,1.897978737411723e-07,3.88,18.42142857142857,6,9jEAdJGRd1nFdoYR75kDaXNLnVwuhQJYthhwR5XVutf9,7.4911804
8245,8245,Ape #7416,,Snow,Pullover,Bewildered,Coffee,Backwards Flat Cap,Disgusted,75.97,10.26,3.88,5.65,19.44,6.81,6.64,8246,1.502038665632156e-07,3.88,18.37857142857143,6,8jEqVEcjuLamFBbvxeP5LTWTj6SCoBLWKUL79S959ru,7.491172
7966,7966,Ape #2895,,Wheat,Softball League,Content,Cream,Beanie,Pout,75.97,9.67,2.69,6.13,16.68,10.66,6.3100000000000005,7967,1.3591392837578266e-07,2.69,18.30142857142857,6,3nGGrL6aHRcgZUcXVa2UrBTgz4gHiEbh97VuQ5Bxjp2n,7.4910197
8114,8114,Ape #9853,,Mint,Buttondown,Mmmmkay,Chocolate,Trilby,Pout,75.97,10.28,5.510000000000002,5.94,16.6,5.34,6.3100000000000005,8115,1.4297232813642338e-07,5.34,17.992857142857144,6,8rEFoXUeDENfH2ToQx3vzQUwqp728AoFB7fcKkZ6M191,7.4909863
4558,4558,Ape #492,,Forest,V Neck,Paranoid,Coffee,Western Hat,Pout,75.97,9.62,1.63,6.03,19.44,5.29,6.3100000000000005,4559,4.6612608454873305e-08,1.63,17.75571428571429,6,AQbvneq9ubF6rNUiTwd1M5sQCft1pQiaGFqLP72EcTmV,7.4909515
4098,4098,Ape #1361,,Mint,Shirt and Ascot,Worry,Tamarin,Ivy Cap,Unimpressed,75.97,10.28,2.1,6.0600000000000005,9.86,5.7700000000000005,6.63,4099,3.748809885408963e-08,2.1,16.667142857142856,6,Eutc3uwcHEemEr7KFmM4Cr1zJ4tWPBHxDYSpAs1xwYNE,7.490824
6350,6350,Ape #3864,,Rose,Tracksuit,Unimpressed,Coffee,Backwards Flat Cap,Unimpressed,75.97,10.1,2.23,5.7700000000000005,19.44,6.81,6.63,6351,8.665648665503968e-08,2.23,18.135714285714286,6,78UAeA2za4oA4AGF7SSxUXG27ZUVo3AoPbG8eUTbj13g,7.4908104
8320,8320,Ape #7870,,Sky,Hooded Jacket,Relaxed,Cream,Winter Beanie,Unimpressed,75.97,10.09,3.14,5.81,16.68,9.93,6.63,8321,1.535669986176677e-07,3.14,18.321428571428573,6,4A2XZ2NzNFFdM4iQLjLqBD3wsxg8RNj17qgLbrcz35m2,7.49076
8265,8265,Ape #7979,,Sky,Overalls,Neutral,Coffee,Western Hat,Bewildered,75.97,10.09,2.36,11.98,19.44,5.29,6.78,8266,1.5110670660316795e-07,2.36,18.844285714285714,6,3RRCUBAEi7KQYmuJMNE22UUzkG9Vf1YHf2vKwsSefskF,7.490698
4911,4911,Ape #1683,,Sky,Vest,Confident,Chocolate,Snapback,Grin,75.97,10.09,1.18,5.48,16.6,9.77,6.78,4912,5.450397842983061e-08,1.18,17.981428571428573,6,8RiLFMMYR2b4UMVytbXWASX2mtwcRjCSwLw3VAt5kzdo,7.4906654
9680,9680,Ape #9021,,Mint,Down Jacket and Scarf,Unimpressed,Cream,Winter Beanie,Smile,75.97,10.28,3.17,5.7700000000000005,16.68,9.93,13.8,9681,3.2650865478585966e-07,3.17,19.37142857142857,6,2Lnj5uwC92fHDQF6zjFbXEPjyR3uvEKUwkWpMiX5MJxw,7.4906445
8285,8285,Ape #1522,,Creamsicle,Pullover,Unimpressed,Cream,Backwards Ball Cap,Cheeky,75.97,10.41,3.88,5.7700000000000005,16.68,7.4700000000000015,6.909999999999998,8286,1.5243864865225198e-07,3.88,18.15571428571429,6,8Uco5yhtDL29JhhEzriRuUo5atvhNsFFff2vC1Ru1kAC,7.4903374
6696,6696,Ape #5330,,Mint,Adventurer in Flannel,Neutral,Silverback,Headscarf,Grin,75.97,10.28,3.29,11.98,12.62,3.6,6.78,6697,9.481553646209193e-08,3.29,17.788571428571426,6,DqbKTbgVoKhFmQVKzZX7FZgumyCpqJ9aQE4PvTLhqbbL,7.4903374
8253,8253,Ape #5016,,Violet,Hoodie,Bewildered,Chocolate,Ivy Cap,Pout,75.97,9.89,5.87,5.65,16.6,5.7700000000000005,6.3100000000000005,8254,1.5060459672065617e-07,5.65,18.00857142857143,6,4dw53245HQyBSZVXnKEzmMkCQ4fY8YtQqTZvksEwnkmQ,7.490299
4687,4687,Ape #1588,,Forest,Softball League,Neutral,Tattoo,Deerstalker,Unimpressed,75.97,9.62,2.69,11.98,6.81,4.69,6.63,4688,4.9872343884383485e-08,2.69,16.912857142857142,6,BwUC3R7Wkzn1T5WVSpdLxHihjg1nkHVpTU7pJvzmntPN,7.4902854
5985,5985,Ape #7076,,Violet,Jacket,Side Glance,Silverback,Headphones,Blep,75.97,9.89,2.83,6.19,12.62,6.75,6.93,5986,7.769836228438992e-08,2.83,17.31142857142857,6,CFijUSeAVWeRuDz6nKcfXq1epfAuVo6EoE59R6iZ2c6F,7.4902754
6564,6564,Ape #3454,,Sky,Overcoat,Mmmmkay,Chocolate,Ivy Cap,Blep,75.97,10.09,3.04,5.94,16.6,5.7700000000000005,6.93,6565,9.187777239332847e-08,3.04,17.76285714285714,6,FsaBkhAtHkn5EVZEBqGsRZ5H7EvjmmRgiYEFPS1Vunan,7.490267
1688,1688,Ape #9126,Earrings,Mint,Down Jacket and Scarf,Content,Cream,Headscarf,Smile,3.45,10.28,3.17,6.13,16.68,3.6,13.8,1689,5.710966069967367e-09,3.17,8.15857142857143,7,E85tWV6VHh78BVAfiUDWKsx8MxcrKXyfHKQfULiBGCqF,7.4902573
8167,8167,Ape #4641,,Creamsicle,Softball League,Side Glance,Chocolate,Beanie,Ecstatic,75.97,10.41,2.69,6.19,16.6,10.66,6.260000000000002,8168,1.4587316666728686e-07,2.69,18.397142857142857,6,6eJh17B8ePynVecpqad7k1SGne1a97wuphdXeDMvw5bM,7.4902263
7800,7800,Ape #1523,,Scarlet,Overalls and Shirt,Mmmmkay,Coffee,,Grin,75.97,9.87,2.75,5.94,19.44,8.01,6.78,7801,1.293114222627052e-07,2.75,18.39428571428571,5,7aEcjXERhxQFoi11xQtjaffmSHksAcdtegn5v2uQpZRH,7.490214
7462,7462,Ape #2055,,Snow,Cardigan,Bold,Coffee,,Ponder,75.97,10.26,2.59,5.89,19.44,8.01,6.2799999999999985,7463,1.1627677194508333e-07,2.59,18.34857142857143,5,Gct4ep5Vw4s9BpfgiB4jSsP3qZYgDSHUh3LssWqEax5r,7.48995
6360,6360,Ape #7329,,Creamsicle,Dress Shirt,Confident,Cream,Headphones,Cheeky,75.97,10.41,2.58,5.48,16.68,6.75,6.909999999999998,6361,8.699033170571562e-08,2.58,17.825714285714284,6,D6S9iTVMkPXocj6PvH4FzQXboeMZSBkzPmgF1uG43r8A,7.4899178
3271,3271,Ape #4192,,Wheat,Adventurer in Flannel,Side Glance,Amphibian,Flat Cap,Grin,75.97,9.67,3.29,6.19,3.15,7.06,6.78,3272,2.2557974228879397e-08,3.15,16.015714285714285,6,2Sns5dxJm2DXj2s7fWvZ7EXPeJyjxsjiR6RGA4px5vxe,7.489868
7163,7163,Ape #5294,,Wheat,Short Sleeve Jacket,Blank Stare,Cream,Snapback,Pout,75.97,9.67,2.34,6.04,16.68,9.77,6.3100000000000005,7164,1.0676806349533303e-07,2.34,18.111428571428565,6,FRuRbNXRzvdjhCGPyth67UJHqcNwwnA4CNeon3XKdKYa,7.4897
5715,5715,Ape #6431,,Wheat,Tank Top,Unimpressed,Coffee,Headphones,Annoyed,75.97,9.67,1.93,5.7700000000000005,19.44,6.75,6.63,5716,7.117300203172168e-08,1.93,18.02285714285714,6,4wTHu4zYGpAaK8nJSyk79Xcvo2xQvCeLHkh3vvTha3mL,7.4896965
9706,9706,Ape #3099,,Creamsicle,Softball League,Paranoid,Coffee,Snapback,Smile,75.97,10.41,2.69,6.03,19.44,9.77,13.8,9707,3.362268243837052e-07,2.69,19.73,6,6CsxU5bXsfVVbmSDvuP63eqxbEvErH6Qgbuf51JtuXGS,7.4896383
1315,1315,Ape #2953,Diamond Stud,Mint,Cardigan,Zen,Cream,Visor,Woah,3.76,10.28,2.59,5.37,16.68,6.67,6.8599999999999985,1316,4.102995165957762e-09,2.59,7.458571428571429,7,5rv9uAf7MJnvoAeg93UnMSTjNJ5R3Pa1WKYghF4trKzS,7.489591
5654,5654,Ape #5053,,Rose,Shirt and Ascot,Neutral,Tattoo,,Disgusted,75.97,10.1,2.1,11.98,6.81,8.01,6.64,5655,6.991773009743918e-08,2.1,17.372857142857143,5,5oH9Chts2ANdQSWsxZachTbAbmryCDht1ktfGzphA34k,7.489543
7686,7686,Ape #3834,,Wheat,Short Sleeve Buttondown,Content,Silverback,Headphones,Ecstatic,75.97,9.67,5.18,6.13,12.62,6.75,6.260000000000002,7687,1.243931013447269e-07,5.18,17.51142857142857,6,GHJiw5VSCm4agVu9RNUi4MqSMWSwsVK4XVuYPyNtz62N,7.4895167
7245,7245,Ape #8604,,Sky,Softball League,Relaxed,Silverback,Beanie,Bewildered,75.97,10.09,2.69,5.81,12.62,10.66,6.78,7246,1.0927176511904669e-07,2.69,17.802857142857142,6,4Y2sPvAtnaMGAzFYcAd85aoPmrnmCMBSAjsBPxmpCiAQ,7.489513
9480,9480,Ape #2276,,Snow,Turtleneck,Neutral,Coffee,Flat Cap,Unimpressed,75.97,10.26,3.22,11.98,19.44,7.06,6.63,9481,2.736003615675541e-07,3.22,19.222857142857144,6,Gd6Eio9ik875h4xcxVaS65ZXZaHEHdbmV12LUWj6T4Ge,7.4894476
7114,7114,Ape #517,,Scarlet,Biker Jacket,Bold,Coffee,,Annoyed,75.97,9.87,2.32,5.89,19.44,8.01,6.63,7115,1.0578031691783117e-07,2.32,18.304285714285715,5,AXrUu5N6D2Pa11ai5UU78mxcNStJxySpTJ6LDf5wMMkc,7.489402
6440,6440,Ape #4226,,Forest,Tank Top,Confused,Cream,Snapback,Loathing,75.97,9.62,1.93,6.11,16.68,9.77,6.3100000000000005,6441,8.862080423811491e-08,1.93,18.055714285714284,6,Fw36VyR1M5hopSn7uuHyNP9ScmhvwaAuYKAUjHkQKgx3,7.4893126
949,949,Ape #7254,Bar,Lime,Down Vest and Flannel,Zen,Coffee,Flat Cap,Ecstatic,3.5700000000000003,9.81,1.85,5.37,19.44,7.06,6.260000000000002,950,2.9892244953539977e-09,1.85,7.622857142857144,7,DcT4gzGN1oVL9WjmSzzT4nh1ZV19b1qyUkVHyPraYo2D,7.489225
4608,4608,Ape #2404,,Creamsicle,Bomber,Mmmmkay,Chocolate,Beret,Smile,75.97,10.41,2.04,5.94,16.6,2.18,13.8,4609,4.7857844733201864e-08,2.04,18.134285714285713,6,64ykzZqFXGTfCqb7zVR2TT97i9CDDSgmZxViH8Xx8TzQ,7.48921
6387,6387,Ape #4172,,Mint,Cardigan,Confused,Coffee,Ivy Cap,Pout,75.97,10.28,2.59,6.11,19.44,5.7700000000000005,6.3100000000000005,6388,8.747373051240136e-08,2.59,18.06714285714286,6,5CuXDMnTk49yPaRHgY3dxh8tVX6Bt5jN7DWDCwegMRXC,7.489034
4810,4810,Ape #7600,,Mint,Backpack and Shirt,Zen,Chocolate,Backwards Flat Cap,Grin,75.97,10.28,1.63,5.37,16.6,6.81,6.78,4811,5.2394056608260656e-08,1.63,17.634285714285713,6,8Hrzv2itp43SjRJhbeUsLtGrR5Jpq7SfCDhn9Euh5mVm,7.489002
9732,9732,Ape #8999,,Rose,Hoodie,Unimpressed,Coffee,Winter Beanie,Confused,75.97,10.1,5.87,5.7700000000000005,19.44,9.93,6.88,9733,3.451527690243615e-07,5.7700000000000005,19.13714285714285,6,CP9TmPkxVd3aaN3uxCv1WNopGLEQLhLWjvezC5FpFdPp,7.488939
9577,9577,Ape #7652,,Forest,Shirt and Vest,Neutral,Coffee,Backwards Ball Cap,Grin,75.97,9.62,3.47,11.98,19.44,7.4700000000000015,6.78,9578,2.991231651038918e-07,3.47,19.24714285714285,6,2PeREFaLiLAA1PPc74brdRYxKXqX6JKzV37eC5xJ28Kd,7.4889317
5676,5676,Ape #6036,,Scarlet,Decorated Shirt,Worry,Cream,,Woah,75.97,9.87,1.69,6.0600000000000005,16.68,8.01,6.8599999999999985,5677,7.038356912094372e-08,1.69,17.877142857142857,5,BUMuzSR1c3vLH8QFP6Gxp1DRjFPWGG59JHZkWmPmKBWX,7.4889255
2426,2426,Ape #7800,,Scarlet,Crewneck,Zen,Tattoo,Beret,Disgusted,75.97,9.87,2.89,5.37,6.81,2.18,6.64,2427,1.1471047877611011e-08,2.18,15.675714285714287,6,3zuaJK4ZuQeXuCczwRDNuXo3gCCySQm7ro6uXmn5DSxb,7.4888806
9307,9307,Ape #4166,,Wheat,Hooded Jacket,Neutral,Coffee,Flat Cap,Loathing,75.97,9.67,3.14,11.98,19.44,7.06,6.3100000000000005,9308,2.3932352310023854e-07,3.14,19.08142857142857,6,ET4abr3StQHF8XHEtdkYL5t4SNgkTvfuErWrsK6ZwrEw,7.4888597
9743,9743,Ape #4538,,Wheat,Pullover,Zen,Chocolate,Winter Beanie,Smile,75.97,9.67,3.88,5.37,16.6,9.93,13.8,9744,3.4818578342863213e-07,3.88,19.31714285714286,6,96FynWjggriB1pr5q5Hx9C77AVSoMaGYnLsyY6MbEgKZ,7.4886913
7545,7545,Ape #7705,,Creamsicle,Down Jacket and Scarf,Confused,Silverback,Snapback,Pout,75.97,10.41,3.17,6.11,12.62,9.77,6.3100000000000005,7546,1.1917265261818259e-07,3.17,17.765714285714285,6,5x82F2SMrwmr2NvMpeiX2bVC4vw48P1LrYavTA4ae3yi,7.48857
6524,6524,Ape #2536,,Wheat,Short Sleeve Jacket,Unimpressed,Coffee,Backwards Ball Cap,Loathing,75.97,9.67,2.34,5.7700000000000005,19.44,7.4700000000000015,6.3100000000000005,6525,9.088798867192585e-08,2.34,18.138571428571428,6,A3oihASFQgk3axBsJ9szGPEmJLpaR1t7eLRxxqit3sm,7.4885616
8840,8840,Ape #6118,,Forest,Decorated Shirt,Side Glance,Chocolate,Beanie,Smile,75.97,9.62,1.69,6.19,16.6,10.66,13.8,8841,1.8669768429392103e-07,1.69,19.21857142857143,6,3mmwCeZx8wMnR9uchHdzqfdRwshywpDvGAbkJYxckDNi,7.4885354
1922,1922,Ape #2514,Earring,Snow,Shirt and Vest,Confident,Silverback,,Confused,5.1400000000000015,10.26,3.47,5.48,12.62,8.01,6.88,1923,6.974303173645485e-09,3.47,7.408571428571428,6,6o1o77ThT4QhG9NF2nfXvbkqSrnTGCF2BqJmCDihPXFg,7.488506
4946,4946,Ape #9571,,Lime,Bomber,Bold,Silverback,Flat Cap,Blep,75.97,9.81,2.04,5.89,12.62,7.06,6.93,4947,5.5290928941285095e-08,2.04,17.18857142857143,6,6adzHPkgKAhzarU5rse2VrzU8hCbsCYaDugupiggUdNc,7.4884624
6403,6403,Ape #9508,,Sky,Down Jacket and Scarf,Side Glance,Silverback,Visor,Blep,75.97,10.09,3.17,6.19,12.62,6.67,6.93,6404,8.774080756271646e-08,3.17,17.377142857142857,6,BAcswRr2H3bJGbvmgNREJppEUYfp4Wu4RbLLc4vZXLpk,7.4884453
9719,9719,Ape #7002,,Scarlet,Short Sleeve Buttondown,Anger,Coffee,Western Hat,Smile,75.97,9.87,5.18,6.17,19.44,5.29,13.8,9720,3.400988957758225e-07,5.18,19.388571428571428,6,D2NyZKakEYQYXmfjsq3snsmBR9GppLGn8o6Aa5L356wQ,7.48825
7170,7170,Ape #3183,,Sky,Down Vest and Flannel,Bold,Coffee,Winter Beanie,Disgusted,75.97,10.09,1.85,5.89,19.44,9.93,6.64,7171,1.0706164309204443e-07,1.85,18.544285714285714,6,7UWuVKRCgjuoiS59vJn6MAix2HCzRGNk6qbvoAjb7XGg,7.4882336
8825,8825,Ape #2103,,Rose,Overcoat,Anger,Coffee,Snapback,Grin,75.97,10.1,3.04,6.17,19.44,9.77,6.78,8826,1.853287369724981e-07,3.04,18.752857142857145,6,WUHo5eDzTZoUKJdH67pLWHQNb5P7YDQCFoMt62Mkjuu,7.488204
6128,6128,Ape #5640,,Sky,Jacket,Side Glance,Cream,Trilby,Grin,75.97,10.09,2.83,6.19,16.68,5.34,6.78,6129,8.109188099847997e-08,2.83,17.697142857142858,6,cjQ4nk6WnZx9GuhUrDHCdGqbEqBcAShWnHL2KAmmmbg,7.488178
8228,8228,Ape #6574,,Rose,Buttondown,Confused,Silverback,Headphones,Bewildered,75.97,10.1,5.510000000000002,6.11,12.62,6.75,6.78,8229,1.4919323496592724e-07,5.510000000000002,17.69142857142857,6,FKiiaBWMLbkibrsT2afiVvzqtscFpmds9aXne6D39FeA,7.488148
9009,9009,Ape #3244,,Mint,Shirt and Vest,Side Glance,Coffee,Snapback,Pout,75.97,10.28,3.47,6.19,19.44,9.77,6.3100000000000005,9010,2.010367933635834e-07,3.47,18.77571428571429,6,2ohPHhydj6srD93Bp9prtC3QquT1pqCWRHE1AGy6ZyDL,7.4880257
6011,6011,Ape #9519,,Forest,Jacket,Content,Silverback,Flat Cap,Blep,75.97,9.62,2.83,6.13,12.62,7.06,6.93,6012,7.828190740295006e-08,2.83,17.30857142857143,6,CxvB9FJER7Wz2W5faKhoYuAmP3AxLLayfRL7FQio5Xyv,7.488017
4449,4449,Ape #5153,,Mint,V Neck,Unimpressed,Silverback,Flat Cap,Bewildered,75.97,10.28,1.63,5.7700000000000005,12.62,7.06,6.78,4450,4.437030442762113e-08,1.63,17.158571428571427,6,BzbUQ3v7NDgU118mjGPpDZCZ5ffEPXNPxAeGBU2zF3Tu,7.48795
5697,5697,Ape #5324,,Scarlet,Dress Shirt,Anger,Silverback,Backwards Flat Cap,Cheeky,75.97,9.87,2.58,6.17,12.62,6.81,6.909999999999998,5698,7.088407285334259e-08,2.58,17.275714285714287,6,rWQucDvTLHNr3q6z68xgBou7nBGZ5dBRfU5KP2qDLKZ,7.4878893
9893,9893,Ape #4455,,Sky,Buttondown,Neutral,Chocolate,Backwards Ball Cap,Blep,75.97,10.09,5.510000000000002,11.98,16.6,7.4700000000000015,6.93,9894,4.348141152391362e-07,5.510000000000002,19.22142857142857,6,Drb5YhLMZ6JKKtCNojm5rR5xJE47moRZnXJupySaDM3d,7.487861
1890,1890,Ape #9862,Bar,Sky,Decorated Shirt,Neutral,Silverback,Beanie,Cheeky,3.5700000000000003,10.09,1.69,11.98,12.62,10.66,6.909999999999998,1891,6.779497610357106e-09,1.69,8.217142857142859,7,E9M7oWuJwurtQTdH3rwz7DhhReFFcdBGvMBg8kkfFWEs,7.487783
2486,2486,Ape #6878,Diamond Stud,Wheat,Tracksuit,Paranoid,Cream,Beanie,Smile,3.76,9.67,2.23,6.03,16.68,10.66,13.8,2487,1.1996894275782429e-08,2.23,8.975714285714286,7,CN55yu2DYa6E8QSYdXSXXbTHXpBA7CUdCsLi4rLatJa3,7.4877634
9965,9965,Ape #6577,,Scarlet,Short Sleeve Buttondown,Neutral,Coffee,Snapback,Cheeky,75.97,9.87,5.18,11.98,19.44,9.77,6.909999999999998,9966,6.106814506273662e-07,5.18,19.874285714285715,6,AL5FvtccqpiqhHEKSyYUt3PpmkQVDii1boQuwqTJhmmh,7.487747
4465,4465,Ape #7104,,Violet,Tracksuit,Mmmmkay,Silverback,Trilby,Disgusted,75.97,9.89,2.23,5.94,12.62,5.34,6.64,4466,4.453468833250301e-08,2.23,16.947142857142858,6,HWDigNa4fLod5NYq8CSDALtFfhMJ6dr9xLt4XbmksHXx,7.487735
9426,9426,Ape #4823,,Sky,Down Jacket,Neutral,Coffee,Visor,Bewildered,75.97,10.09,3.27,11.98,19.44,6.67,6.78,9427,2.63991322534606e-07,3.27,19.17142857142857,6,FaiH2LAqzundvpX3eiuxdrmgPmb3EQbf3RmXB6BwTuzA,7.487674
5115,5115,Ape #5910,,Lime,Decorated Shirt,Blank Stare,Coffee,Ivy Cap,Woah,75.97,9.81,1.69,6.04,19.44,5.7700000000000005,6.8599999999999985,5116,5.853706809929262e-08,1.69,17.94,6,EqSBPCQsJQCVBSPCEHDmGZFk6Dor2pTFkwWwi8wu4BNr,7.4876556
6633,6633,Ape #7901,,Creamsicle,Jacket,Zen,Chocolate,Flat Cap,Annoyed,75.97,10.41,2.83,5.37,16.6,7.06,6.63,6634,9.338559595205783e-08,2.83,17.83857142857143,6,4PZWjpJVZeZGGqJaPs2ukTja19vATTkKjbgFZcVUNNAL,7.487602
6908,6908,Ape #4603,,Sky,Jacket,Blank Stare,Chocolate,Backwards Flat Cap,Grin,75.97,10.09,2.83,6.04,16.6,6.81,6.78,6909,1.0042493530052827e-07,2.83,17.874285714285715,6,ECTWCj8VbxaNrM9h7rE7azFjf3386m2QkFgXBFULS3ZM,7.4874525
8314,8314,Ape #4369,,Snow,Tracksuit,Side Glance,Coffee,Beanie,Confused,75.97,10.26,2.23,6.19,19.44,10.66,6.88,8315,1.5340054506769983e-07,2.23,18.804285714285715,6,2dc5JK597hK26C8HkYbgbom93NKVEMd1aLspwuPLfhhj,7.4873238
4815,4815,Ape #2485,,Sky,Tank Top,Mischievous,Cream,Ivy Cap,Woah,75.97,10.09,1.93,5.38,16.68,5.7700000000000005,6.8599999999999985,4816,5.254953198476076e-08,1.93,17.525714285714287,6,3JF2LhcUDNbkG2KbsycueKQRFkavC7dhFEwniKY87DE9,7.4871345
9268,9268,Ape #9174,,Creamsicle,Crewneck,Mmmmkay,Silverback,Snapback,Smile,75.97,10.41,2.89,5.94,12.62,9.77,13.8,9269,2.3099902598588682e-07,2.89,18.771428571428565,6,FLjhxESjirEchAs4YC6Ft5VUv1QJ5URaA39vYFfux1f5,7.4870963
6372,6372,Ape #8863,,Scarlet,Overcoat,Confused,Silverback,Backwards Ball Cap,Disgusted,75.97,9.87,3.04,6.11,12.62,7.4700000000000015,6.64,6373,8.718105275087117e-08,3.04,17.388571428571428,6,8UNnMCphtLj6CDzCakw68ryfgZDADHMwtJ97k59nyAEo,7.487084
7425,7425,Ape #4037,,Snow,Jacket,Confused,Chocolate,Backwards Ball Cap,Confused,75.97,10.26,2.83,6.11,16.6,7.4700000000000015,6.88,7426,1.1498316560205207e-07,2.83,18.017142857142858,6,Bpc8uA5KqejokTMbdHywCrSRSkmWGr2zYneugWWRHYcQ,7.487042
7156,7156,Ape #4495,,Violet,Down Jacket and Scarf,Mmmmkay,Cream,Backwards Flat Cap,Annoyed,75.97,9.89,3.17,5.94,16.68,6.81,6.63,7157,1.0654689839472119e-07,3.17,17.869999999999994,6,AerBh8BW26PjY2d1khdFQ9taBXJiPPNu6jN3yRouUExw,7.4870024
8149,8149,Ape #3300,,Mint,Dress Shirt,Content,Chocolate,Beanie,Annoyed,75.97,10.28,2.58,6.13,16.6,10.66,6.63,8150,1.4490862737459528e-07,2.58,18.40714285714285,6,7Zv9rH8aGPQV3t3AJjHjsWFNUimXhF8aD88kf11QYwHC,7.4869637
5918,5918,Ape #3186,,Mint,Hooded Jacket,Unimpressed,Cream,Deerstalker,Woah,75.97,10.28,3.14,5.7700000000000005,16.68,4.69,6.8599999999999985,5919,7.593355048731225e-08,3.14,17.627142857142857,6,4VPXqSXoFG8WoGhLhJG74rnPeh53VjNFgerH9xa81gBj,7.4869466
6001,6001,Ape #7567,,Snow,Turtleneck,Relaxed,Chocolate,Deerstalker,Confused,75.97,10.26,3.22,5.81,16.6,4.69,6.88,6002,7.810716238174682e-08,3.22,17.63285714285714,6,6ZXoijfhcGkjMeP3u53w1bWdtXGAq3gwWKK5CZB35kmY,7.4869328
