,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
5,4gS9SrPjaVUtFwEjau6wj7hzhDwMW6C9hnQhectdpedFWvSPXiCo7GVbKJsEtXbe3Po2HXdNLhnVVAHsVC7oPG5x,buyNow,magiceden_v2,56VsXaoozSoGvWBrQWfM6cCkeu4brG5LANqCuiZq8qMU,justape,136821949,1654711001,5txBjjKT3hNjyKHUUdeunxrpmJN4hAF4jct6RRzm72TX,,95779Rw1DBSDPvkM8vCdJwJqgf98tDNDMojxQJ6HhJsc,,12.5
6,4NQZC3HFKwBLc6m6ousdeKFWasfirw1KS3gg5NYHHuMpUTBBkDCcyVGbvVFjJrCzjFidScxKzmqdLDCPiZ6RrbVa,buyNow,magiceden_v2,6Cwe8ATmmxPuLJVZdrjhZXUV8XXZLDGr1Cv8zSM5z167,justape,136821762,1654710847,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,CNUxs7FzavcqGBZ3xsKHSc6P1JUkeBV2jagBG9x5ReAe,,12.69
7,4b76BMCxm7TY8nv7R4UoHXipH7FRpTzZPJjxc3RaWdrCZCNSVve8myVFCDa3xwqP9RfmESRJCHhnnkTkotNiNxW9,buyNow,magiceden_v2,Ctx2wBhFXFEwTkVKhRiXGbrLi5f5b1SfzjqFimiEo5J6,justape,136821750,1654710840,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,5Fv6mpCKK8Hnrp7ge6Tmqwfk7LeeULpgwmZem7GWRfN,,12.75
8,3PJswc7vuLbN4DhZauYcAyrzAxJRvgiihS9fDuseVJdFNHoquCgRsUJQrNnXtuqGcomGMaRkxe1osky9TAeWh7pK,buyNow,magiceden_v2,34PeUNBiCQDEgJ2L15HSYibfQyDqnkX1M1799ViF5Dkf,justape,136821690,1654710798,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,9DRiBdcSBvLwVNzp8kZVfHNGYziKzgN2YVgpVVEcVGm5,,12.5
9,3DFppZKbx6QKWL8PB3isMAq5eZSexcxsVdWmRWsJ2N4vnD8REENdjVzDm1GZx7Z48UkNWYy1W5aeS9JmfJFJVhkz,buyNow,magiceden_v2,CDGZ2xLVybvibt7DazFWSyz8b8cUpGa6T3bwi9LLqHtd,justape,136821686,1654710789,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,BxitjQBTukoN1PzujiXuPLHnfmpitkY4qqrpFaQfu1PY,,12.5
10,3tDqvXSGJgJzVTr9qdwqbH3Dy87VAdHYNYWdcWn1iukKmZ946X4phUxP7ZyRHVFsKsahsNJ5hrrkVdQJ8BsZQMZe,buyNow,magiceden_v2,6DsD1KwGyMQ1fidgVHocvwN4T2pit9oApdaUeXXsQSwP,justape,136821615,1654710738,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,FM9vJcqKay4wXPTxjWELJ157QNXfLvooEMPwuijgXbJV,,12.45
11,5eToMoY4RWdfDyAcPzmQ4jhwL7VyMGXuv2LswbaqyoUnR5HznQBEDmivHQMmbUw627n7jkxF57ktBt44zZzzEMC1,buyNow,magiceden_v2,4dz1P32Emf3Qchib4teUGrE6YngboQyRAyxWTAknMvhn,justape,136821595,1654710725,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,7nFSMg3qXBvxNoahJxWzxtHdU7LmN6LPUoNuP98wtedz,,12.46
12,VyxFKVnCcKJzvfijtt7bRTe7fcoDyGwR92q255nwLQwjzmYZbw6ziSBsJ4gQmSpeE12zubCMSVKwqa9xfPz61gW,buyNow,magiceden_v2,HVoycWkSoc4UFyEW38nqLnxV4ssLzBBbmM3tuYddLGYM,justape,136821594,1654710725,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,4frbSgSRGnAWmTJDFEWVKW8faqsygWW5edXJQ9nrJR5o,,12.5
13,4wN7eWtqSnikB1MJoQJpYKVgbN1SnxySPRKzozscJH7GC58vJezPAEQRvv6PaUFAPS9qoukNDYftYFHY9kpCjEkP,buyNow,magiceden_v2,5VW67qDGic8ju1MkyuEZshiiznX42Qf8LJmkXXVwfz55,justape,136821594,1654710725,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,3Ex281uJojvJTWw4JKqdM9sEWZn8eAv8htsVi3sgbdwD,,12.5
14,5AgB523WQFV23nAak1pq55xLzzMtWTSbBewoEPwFaGkpoJunAhNsksnbpWLVga1rr4cWbcJGsFLJGyL2SCUfyJe8,buyNow,magiceden_v2,DS1az4KG281t4w1VUV2pzEHXiEHaw66TAnJwfwaPxRjA,justape,136821588,1654710721,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,CbR9243z66a2ZudrZL1HwZFbPgxTLLWFgWnjYnXM5u4e,,12.5
15,it8q7UuKa5rUeULpdAcH5w5usnUdbLhTKZCaRRB4gsmWj4UywTV5Jaen39gawQw6cXpKk7988JmfmvYb6DhhSv1,buyNow,magiceden_v2,4g13VfVCfcE9ddvqwH9TvY3561LC4UEmHPosJ1ZKFAyM,justape,136821534,1654710686,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,EfyAALSNTEXAXc7juZs3RsQdYTy1Q6PcH9JxikJ3qyK8,,12.42069
