,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
941,13.810802,17.99,Primate #2174,5566,6,https://bafybeicwxsyp565bszentlkds6p7j4sskmt4f4kmr7r3c2of2aluk3qxam.ipfs.nftstorage.link/2173.png?ext=png,-4.179197999999998
548,13.303502,17.5,Primate #652,9030,5,https://bafybeiaqgndthxa46j2wpdymtbzjhg7xecxq7wzcreiuvu4zizj6jwoozq.ipfs.nftstorage.link/651.png?ext=png,-4.196498
897,13.847414,18.1,Primate #3049,5290,6,https://bafybeifbxpptjtoawwe7bdo4f6v7j7tdu45p5icfnvbnrfyz5jnm6nrw3y.ipfs.nftstorage.link/3048.png?ext=png,-4.252586000000001
8,14.232175,18.5,Primate #4215,9327,5,https://bafybeiext46da66oyaeludda2pfbd47ztmdksy6rt4jme625u2xrfmqrsy.ipfs.nftstorage.link/4214.png?ext=png,-4.267825
978,13.728354,18.0,Primate #9623,3871,6,https://bafybeiewcvq7tbqfshn4kcysq7pzh2cfgbhopnuphteblr6s2sujwa7o4u.ipfs.nftstorage.link/9622.png?ext=png,-4.2716460000000005
251,15.72161,20.0,Primate #4043,1938,6,https://bafybeidorizm4cf3u4rdoeexg3iw5am6jnh2vhchwobccxnvhabelvhfbu.ipfs.nftstorage.link/4042.png?ext=png,-4.27839
1330,15.708848,20.0,Primate #7971,2170,6,https://bafybeihoczeu5ba6hd6tjbefful3kokhd55q546rx6kjdrdsq25acrkd6i.ipfs.nftstorage.link/7970.png?ext=png,-4.291152
12,14.46422,18.77,Primate #1439,3031,6,https://bafybeihdmc3ucwmk4xli7gb5vs5byoa6dybkis7dus7l5eubjjldxj7shm.ipfs.nftstorage.link/1438.png?ext=png,-4.30578
790,14.671988,18.99,Primate #8725,5019,6,https://bafybeibhjmbtlpdujwd3m5x3q4vukp4fwm7wlbdsuzpyzx5hqnv2u6dkxi.ipfs.nftstorage.link/8724.png?ext=png,-4.318011999999998
1001,13.15979,17.5,Primate #9789,9943,5,https://bafybeiernkt3lfoq6wayhyhvjrtib2fy4pgncl55hmjwp4ubv77orh6yyy.ipfs.nftstorage.link/9788.png?ext=png,-4.340210000000001
