,Unnamed: 0,name,Background,Body,Clothing,Eyes,Head,Mouth,trait_5_rarity,trait_3_rarity,trait_0_rarity,trait_2_rarity,trait_4_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
7377,7377,Primate #8742,Green,Tribesman,,Questionable,Pom Beanie,Content,9.64,6.68,2.04,3.75,1.83,18.05,7378,1.6272085873320002e-08,1.83,6.998333333333334,5,EmQLJipRvi9dn7HLmVGTCPD7qBoeD4QaUN8ryp5KNkQR,16.943352
813,813,Primate #7161,White,Tribesman,Hype Fanny Jacket,Questionable,Unkept Hair,Vampire,10.19,6.68,2.43,3.75,0.69,4.18,814,1.7890132632569995e-09,0.69,4.653333333333333,6,8Fx7VfeD3b1daXZM1gjRFktMarKRe78iaho69G1WcDqG,16.93909
3165,3165,Primate #1504,Green,Stone,Vest N Tie,Thinking,Crown,Bubble Gum,9.64,7.79,1.83,4.32,1.4500000000000002,4.8,3166,4.1319833965055985e-09,1.4500000000000002,4.971666666666667,6,66YCkHKpMkmYvaCEVvzKY3P7uVasNYnjk2qYm7ssuqVg,16.938738
1722,1722,Primate #7533,Red,Test Dummy,Aviator Jacket,Wide Eyed,Headset,Stitches,10.48,4.17,2.03,4.7,2.42,2.62,1723,2.6436739446902402e-09,2.03,4.403333333333333,6,4KaxYx1ker25S7utPmgfKhxeWVFSDVhNRHVcHmEKdFWj,16.93689
1843,1843,Primate #2232,Pink,Intestines,Pullover,Thug Life Glasses,Red Fedora,Cigarette,9.83,4.23,2.13,2.9000000000000004,2.11,5.09,1844,2.7584919707600693e-09,2.11,4.381666666666667,6,B7fGMyzRdk5nRcfVJHkcW6MrCusbb8r7K4qrrXn8B5ku,16.93474
2698,2698,Primate #1489,Pink,Skeleton,Cardigan Sweater,Cougar Glasses,Guzzler Hat,Jngl Grill,9.83,6.3100000000000005,2.03,3.08,1.98,4.66,2699,3.578332875129936e-09,1.98,4.648333333333333,6,EKzrafod4VFZVuoHQpcRgreYZ2w4LL6V84kwuod8wsJ9,16.933609
3657,3657,Primate #9643,Mint,Pill,Sliced Cutoff,Enucleated,Arrow,Dumbfounded,10.15,4.15,1.55,3.87,2.0500000000000003,9.1,3658,4.713592732143751e-09,1.55,5.145,6,4cSBAH9mBjTydCG4nzhQTUKNndgYYV4VXvTmhv2hstTa,16.931992
1923,1923,Primate #7422,Mint,Robot,Knitted Tee,Squinted,Newsboy Hat,Stitches,10.15,8.790000000000001,1.95,3.85,1.61,2.62,1924,2.8253836363252506e-09,1.61,4.828333333333334,6,EKANvGU2gbipmcpg3qHarbbi2yL1XVWsgHPY661EPCM9,16.925882
1399,1399,Primate #6823,Red,Mutated Zombie,Sliced Cutoff,Censored,Red Fedora,Jngl Grill,10.48,7.57,1.55,1.94,2.11,4.66,1400,2.34562705496752e-09,1.55,4.718333333333333,6,3iyohpkckT6BKxHer6yqG4qg4NwmnNk5M8dok83pmNJ3,16.923677
1633,1633,Primate #4857,Blue,Skeleton,Armor,Snow Goggles,Cig Hat,Jngl Grill,10.37,6.3100000000000005,2.02,2.0500000000000003,2.03,4.66,1634,2.5632755839234604e-09,2.02,4.573333333333333,6,ETYAfG6L2Mvb6p4jKhz4kvxNVXhiJhf2LHFWrJXLDKvJ,16.922256
6823,6823,Primate #9924,White,Stone,Casual Zip-Up,Eye Patch,Crown,Content,10.19,7.79,2.02,3.02,1.4500000000000002,18.05,6824,1.2674042600491901e-08,1.4500000000000002,7.086666666666668,6,BVpDzjh99fv2HeXcju4wgnNd2GdawxKrwWtUE3iF2UH8,16.921755
1493,1493,Primate #3819,Yellow,Robot,Diving Jacket,Cyber Gas Mask,Reggae Braids,Cigarette,9.83,8.790000000000001,1.6,2.02,1.72,5.09,1494,2.4448936594675207e-09,1.6,4.841666666666666,6,7D4FfgYCeh785toPV9Hb23mr5iHREKZvpBMQ15AFGRLG,16.92102
1108,1108,Primate #7741,Orange,Caution Tape,Blingin Polo,Snow Goggles,Professor,Pipe,9.85,8.89,1.47,2.0500000000000003,1.85,4.24,1109,2.0698876449510002e-09,1.47,4.7250000000000005,6,9F4uXf7YJAKR3frTk5QoztawBCMuqL88ZnNXxNr3QP8K,16.919958
932,932,Primate #4891,Orange,Robot,Cyber Zip-Up,Slashed,Thin Mohawk,Cigar,9.85,8.790000000000001,0.89,3.19,2.0,3.85,933,1.892764232205e-09,0.89,4.761666666666667,6,12F9GAEqCjyt2sEZwH8oxXZ6GDVWayTBZHLCjHc77p55,16.91788
5528,5528,Primate #8577,White,Naked,Striped Jacket,Parallelogram Glasses,Guzzler Hat,Cigar,10.19,19.21,1.76,3.0,1.98,3.85,5529,7.878823855055997e-09,1.76,6.665,6,42zchthkx58i1oX9vhjP429LK5UmZjPH16cuZCJ98rV4,16.916822
1469,1469,Primate #7524,Red,Caution Tape,Windbreaker,Undercover Glasses,Racing Helmet,Vampire,10.48,8.89,2.03,2.73,1.12,4.18,1470,2.417219187871488e-09,1.12,4.905,6,CrGwcuvp69KqGmfQKGmRoniYqHQmKeJaxgTo7BADxsHQ,16.913887
5027,5027,Primate #3905,Purple,Scarred,Hype Fanny Jacket,Undercover Glasses,Guzzler Hat,Sassy,9.66,9.13,2.43,2.73,1.98,5.86,5028,6.788590794321337e-09,1.98,5.298333333333333,6,8fJzS7FMDhsQkGx2eRKj87QX1szdeG6MnvdTVTQ6eZV8,16.91349
1095,1095,Primate #975,White,Intestines,Windbreaker,Polarized Sunglasses,Braids,Pipe,10.19,4.23,2.03,2.82,1.97,4.24,1096,2.061065436551856e-09,1.97,4.246666666666667,6,5ksdxao8z2BRYhdzhdWmEgJezDsMAAtxZrVK6vkGGYM3,16.913155
2027,2027,Primate #7621,Pink,Naked,Winter Coat,Stitched,Crew Cut,Bubble Gum,9.83,19.21,2.18,1.92,0.77,4.8,2028,2.9212623911116803e-09,0.77,6.451666666666667,6,7YLErNGjDU5roPtwChXYafvSY3Z5iiYs1nK7oAfRnDao,16.912422
1270,1270,Primate #999,Red,Mutated Zombie,Casual Denim Jacket,Censored,Pom Beanie,Skelly,10.48,7.57,1.95,1.94,1.83,4.05,1271,2.2243320337212003e-09,1.83,4.6366666666666685,6,FzvgciXfgYV6za5s7uuvy1KTH7UHKg7fLpSBTRZ2qZni,16.911102
2091,2091,Primate #4089,White,Robot,Armor,Enucleated,Pilot Helmet,Cigar,10.19,8.790000000000001,2.02,3.87,1.11,3.85,2092,2.9923273484388907e-09,1.11,4.9716666666666685,6,4eGrAVnhUrs9Ngcn64pAdM1WEZrdxFtZGkdNjKMt3wcq,16.910532
1195,1195,Primate #7017,Green,Skeleton,Wifebeater,Bandages,Reggae Braids,Bubble Gum,9.64,6.3100000000000005,1.4200000000000002,3.01,1.72,4.8,1196,2.14650012154368e-09,1.4200000000000002,4.483333333333333,6,4QsxBHdnbX5PXCKJ63PRofKhDft3Zgp846gXmYrCSU56,16.909985
1553,1553,Primate #539,Lilac,Skeleton,Winter Coat,Meth Scientist,Horned Cap,Vampire,10.0,6.3100000000000005,2.18,1.83,2.3800000000000003,4.18,1554,2.5043220731759995e-09,1.83,4.48,6,66hEuR1rF3LVqMd8vMDoP5H47nHta4zJu8mMvdeQnWBR,16.909533
1404,1404,Primate #4868,White,Caution Tape,Racing Jacket,Thug Life Glasses,Antlers,Banana,10.19,8.89,2.02,2.9000000000000004,1.5699999999999998,2.82,1405,2.3494925542897197e-09,1.5699999999999998,4.7316666666666665,6,2p5m6MbPcXXmwVRXKJxhGANvPFKeheZJASCxKaCySkYn,16.909096
2348,2348,Primate #7677,Purple,Naked,Wifebeater,Wide Eyed,Afro,Jngl Grill,9.66,19.21,1.4200000000000002,4.7,0.5599999999999999,4.66,2349,3.2319500290694397e-09,0.5599999999999999,6.701666666666667,6,3roXsNGXWNQiZsHTm85YXStobhrrG55VCYT5zChGCH7Q,16.907497
3937,3937,Primate #682,Purple,Glitch,Turtleneck,Thinking,Newsboy Hat,Tnt,9.66,6.45,1.48,4.32,1.61,7.88,3938,5.05399021537536e-09,1.48,5.233333333333333,6,Hqwu5WH3zK8d5BUb14cEpC9CxnDS72NkFY7bDcpaPRNn,16.90657
904,904,Primate #3217,White,Mutated Zombie,Wifebeater,Enucleated,Afro,Tnt,10.19,7.57,1.4200000000000002,3.87,0.5599999999999999,7.88,905,1.8706115752248965e-09,0.5599999999999999,5.248333333333333,6,zVPVWfisiR5mdBNHYSnQYqh3GNQPhhyjetN1D59sHRp,16.90651
1167,1167,Primate #6360,Pink,Mutated Zombie,Iridescent Windbreaker,Bandages,Racing Helmet,Skelly,9.83,7.57,2.09,3.01,1.12,4.05,1168,2.1234166819034396e-09,1.12,4.611666666666667,6,CbEsTfPH3zmehsTo2qhQ8XCfcwKJKEXDq4gdtVJH5oK5,16.904844
8771,8771,Primate #9468,Pink,Glitch,Striped Polo,Undercover Glasses,,Sassy,9.83,6.45,2.13,2.73,19.05,5.86,8772,4.1157413961340955e-08,2.13,7.675000000000002,5,25wVVak4Guxt7yUzeYUBKBErRGsUsNVh7LrA8XHPRowe,16.903738
8444,8444,Primate #2566,White,Glitch,Casual Zip-Up,Cougar Glasses,,Skelly,10.19,6.45,2.02,3.08,19.05,4.05,8445,3.154902831164701e-08,2.02,7.473333333333334,5,4uy8Je8Df6SSEaKmxjMNYY5sguRevJLGNJz5zFkaGEWG,16.900436
1996,1996,Primate #4750,Pink,Skeleton,Alchemist Jacket,Eyeball,Propeller Hat,Tnt,9.83,6.3100000000000005,0.98,2.85,2.12,7.88,1997,2.8941157132238397e-09,0.98,4.995,6,F9pQkSgtJbeVkAxn9zWibFEcyRCyBCGggVPXQRPvYYSZ,16.898163
1283,1283,Primate #1225,Red,Tiger,Painting Jacket,Crossed Out,Headdress,Amused,10.48,6.63,1.5,3.37,0.8999999999999999,7.07,1284,2.234898964116e-09,0.8999999999999999,4.991666666666666,6,5Nu7qi5efN9USoFKRCEKnCv3K9x6QWrqnoTEqTQt1cNw,16.897984
1327,1327,Primate #8338,Green,Intestines,Cardigan Sweater,Monocle,Headset,Skelly,9.64,4.23,2.03,2.8000000000000003,2.42,4.05,1328,2.2716523046448e-09,2.03,4.195,6,AC5Wf3dSR1eK3KwEZtcgrmLwLd42XFbEGSqnVCEWirAk,16.89709
2090,2090,Primate #3861,Blue,Test Dummy,Fur Coat,Baller Shades,Red Fedora,Snake,10.37,4.17,2.25,2.95,2.11,4.94,2091,2.991773766120749e-09,2.11,4.465,6,4fcdpcBJqEnN6kKa7KMkzaE5eRWp3cNYEQuDHkYCipXN,16.895353
1272,1272,Primate #4027,Blue,Intestines,Tiger Robe,Thinking,Reggae Braids,Pipe,10.37,4.23,1.61,4.32,1.72,4.24,1273,2.2249643157826564e-09,1.61,4.415,6,DqDLigeL1sYJYiQ7VW3Cj3rMYhbMDrQuBUiMnajzehAB,16.893137
2528,2528,Primate #7177,Pink,Caution Tape,Mob Boss Jacket,Crossed Out,Luscious Hair,Tnt,9.83,8.89,1.02,3.37,1.44,7.88,2529,3.408584470494336e-09,1.02,5.405,6,4PkQNDiwN6KSg8S539ZtWjkNbgxYdtwXb5kXkpAvFjzW,16.892618
6968,6968,Primate #5271,Red,Caution Tape,Sliced Cutoff,Classy Glasses,Crown,Content,10.48,8.89,1.55,3.58,1.4500000000000002,18.05,6969,1.3530784489557999e-08,1.4500000000000002,7.333333333333332,6,QXe7MA1D6cv3549g3MYRUDgJeGgntn7L97Q7SJDkBmK,16.890797
1503,1503,Primate #1062,Green,Scarred,Bib,Thinking,Crew Cut,Pipe,9.64,9.13,1.98,4.32,0.77,4.24,1504,2.457838429111297e-09,0.77,5.013333333333335,6,J6qV4HiZmbxssiX2iaCGevdYhMY746Xti98dGY9yqQ3T,16.887276
3766,3766,Primate #8563,Mint,Glitch,Baseball Jersey,Hockey Mask,Football Helmet,Content,10.15,6.45,2.06,2.11,0.94,18.05,3767,4.828147089328501e-09,0.94,6.626666666666668,6,9cLbJeT3hdt478nTuHhrWJmPBy2u1sjJaCtBtZqXUj2Q,16.88597
1697,1697,Primate #702,Blue,Test Dummy,Baseball Jersey,Thinking,Headset,Banana,10.37,4.17,2.06,4.32,2.42,2.82,1698,2.626214850686592e-09,2.06,4.36,6,Ex9LGHwrncuLhmZV2Xnb6pyKChQbkrnVckGrG1mB7uj1,16.883932
8861,8861,Primate #4758,Red,Caution Tape,Color Block Zip-Up Jacket,Baller Shades,,Bubble Gum,10.48,8.89,1.78,2.95,19.05,4.8,8862,4.4734365240768e-08,1.78,7.991666666666667,5,C5fDtxdhVPGqhSPeS7oXtJvhP6uxtuP5szmapZCVQYjU,16.883892
8571,8571,Primate #6106,Red,Glitch,Motorcycle Jacket,Baller Shades,,Bubble Gum,10.48,6.45,1.91,2.95,19.05,4.8,8572,3.482672189328e-08,1.91,7.606666666666666,5,D5RDGNr1DCPrzxkf356QNQdX9zCjrQeNBkLt7fXHykie,16.881304
1429,1429,Primate #6107,Orange,Naked,Alchemist Jacket,Aviator Goggles,Pink Braids,Vampire,9.85,19.21,0.98,1.97,1.5599999999999998,4.18,1430,2.3820823835608793e-09,0.98,6.291666666666668,6,FDKvHwtAu9yguGYXQHLKmmSNQYhSjPoEsW4kBrHc1oFz,16.878475
6938,6938,Primate #1990,Mint,Skeleton,,Snow Goggles,,Stitches,10.15,6.3100000000000005,2.04,2.0500000000000003,19.05,2.62,6939,1.3368285170793006e-08,2.04,7.036666666666666,4,EsbpdsetRJALnpJ1zHiCn2ZudAAtVNAnsXjb9NtHW6gN,16.875229
6218,6218,Primate #3669,Orange,Mutated Zombie,Casual Zip-Up,Wide Eyed,Guzzler Hat,Amused,9.85,7.57,2.02,4.7,1.98,7.07,6219,9.909824000491801e-09,1.98,5.531666666666666,6,BGCQuuoLZtgs6XDJ6w2G6skMt3ugAnjL2vc1Ain6MBT1,16.874899
2783,2783,Primate #6112,Red,Naked,Basic Hoodie,Cyber Gas Mask,Red Fedora,Banana,10.48,19.21,1.51,2.02,2.11,2.82,2784,3.653831603492833e-09,1.51,6.358333333333333,6,2goYroPb4Hj1Wjwnr6wFLXotEm1nR35vrXwkmEvNpPFu,16.874777
2661,2661,Primate #2448,Red,Test Dummy,Striped Jacket,Thinking,Arcade Machine,Content,10.48,4.17,1.76,4.32,0.59,18.05,2662,3.538530718525441e-09,0.59,6.561666666666667,6,7VT4cthRk3Rc66rXEr6xD5sYhp4FeedtUhXCPmbMDFMv,16.874577
8907,8907,Primate #1711,Purple,Tribesman,,Pritv,,Sassy,9.66,6.68,2.04,3.17,19.05,5.86,8908,4.658387530239073e-08,2.04,7.743333333333332,4,DZxFFHSsgBa2Cmn89FZKhswCR7yYPNPWD42Kpii84qSL,16.873713
2562,2562,Primate #5060,Mint,Mutated Zombie,Football Pads,Enucleated,Headshot,Vampire,10.15,7.57,2.45,3.87,1.13,4.18,2563,3.4410714978370493e-09,1.13,4.891666666666667,6,BNMMHuuNfETq4j1gBb1mSN2d6NZqgsYpaU9En32cs4Q9,16.87322
986,986,Primate #6433,Orange,Robot,Cyber Zip-Up,Undercover Glasses,Fedora,Tnt,9.85,8.790000000000001,0.89,2.73,1.18,7.88,987,1.95607716880212e-09,0.89,5.22,6,AMhH4bKriYXuqm6UTEfWAeaniWX8RXBoL1D7naT8yECd,16.872519
1985,1985,Primate #3415,Blue,Tribesman,Fur Coat,Cyber Gas Mask,Horned Cap,Cigar,10.37,6.68,2.25,2.02,2.3800000000000003,3.85,1986,2.884873623786e-09,2.02,4.591666666666667,6,8NZdCYgyJtaaEg37J9w2Gq6Ji4Eq7QFdwc9aq4gMgBXY,16.87162
6161,6161,Primate #1142,White,Scarred,Prince Jacket,Slashed,Guzzler Hat,Excited,10.19,9.13,1.53,3.19,1.98,10.79,6162,9.700937584527617e-09,1.53,6.135000000000002,6,pxMgQQhPzFZobLGTzq51hn1y9T8E1Hcat1mCe9S8qLf,16.869184
1246,1246,Primate #9200,Pink,Caution Tape,Mob Boss Jacket,Parallelogram Glasses,Cowboy Hat,Snake,9.83,8.89,1.02,3.0,1.67,4.94,1247,2.2060742496155998e-09,1.02,4.891666666666667,6,Dn8oJ6eFhH8dx3r6RTKuZBbRSUjyEVGEPxNpkdFgdsQG,16.86779
1458,1458,Primate #7513,Purple,Tribesman,Armor,Aviator Goggles,Drummer,Pipe,9.66,6.68,2.02,1.97,2.21,4.24,1459,2.406186660329088e-09,1.97,4.463333333333334,6,3XiV1kZz6j1KnXUXJAntwjEgZd74uJhhmC2Hcm8SXsV9,16.866669
1356,1356,Primate #8372,Mint,Naked,Basketball Jersey,Snow Goggles,Football Helmet,Vampire,10.15,19.21,1.46,2.0500000000000003,0.94,4.18,1357,2.2930010802314e-09,0.94,6.331666666666668,6,EA7JhsyAMyeDN9fcpaMof3G49NwsNx2aprPsNGbd2AKy,16.863514
1501,1501,Primate #5912,White,Stone,Windbreaker,Stitched,Pink Braids,Cigarette,10.19,7.79,2.03,1.92,1.5599999999999998,5.09,1502,2.456695266165504e-09,1.5599999999999998,4.763333333333333,6,7LWjerjeiAWubymGRamanygfWRbpLz1ygnSa9dyU3GuE,16.862745
4107,4107,Primate #8495,Pink,Glitch,Straight Jacket,Stitched,Pink Braids,Content,9.83,6.45,1.54,1.92,1.5599999999999998,18.05,4108,5.2788216184703995e-09,1.54,6.558333333333334,6,7VQTHy94LWbCEn71W762ibfoHQhsRxCani1fSYgsbAKF,16.862137
8499,8499,Primate #8344,Pink,Glitch,Mechanic Jacket,Pritv,,Vampire,9.83,6.45,2.0500000000000003,3.17,19.05,4.18,8500,3.280934932379775e-08,2.0500000000000003,7.455000000000001,5,D2Sffx25R9cZzREBDEumbKKPPNQF2vSNsFfXz2ij2GeR,16.861073
5276,5276,Primate #7330,Blue,Skeleton,Prince Jacket,Snow Goggles,Guzzler Hat,Content,10.37,6.3100000000000005,1.53,2.0500000000000003,1.98,18.05,5277,7.334927136360452e-09,1.53,6.715000000000002,6,79mogySh9EZqQKxyCsu4kYmyJfKNKBgNpzh6t5vVo24X,16.856955
8352,8352,Primate #7491,Green,Glitch,Motorcycle Jacket,Flip-Up Glasses,,Jngl Grill,9.64,6.45,1.91,2.78,19.05,4.66,8353,2.93086495786212e-08,1.91,7.415000000000003,5,GQb1HUpEumgRB3Ffku56s6UjVi6F63GecvTfsUB9ifKk,16.856705
1196,1196,Primate #4085,Pink,Stone,Prisoner Uniform,Meth Scientist,P-Cap,Jngl Grill,9.83,7.79,1.89,1.83,1.7399999999999998,4.66,1197,2.147528986017156e-09,1.7399999999999998,4.623333333333333,6,BGLP4RM8mtYUzfrAHKRggy72V1yDMDcRbRLeBr2bEuCc,16.856276
643,643,Primate #3133,Lilac,Tribesman,Mob Boss Jacket,Eyeball,Tactical Helmet,Dumbfounded,10.0,6.68,1.02,2.85,0.91,9.1,644,1.6080675156000004e-09,0.91,5.093333333333334,6,uHFThgG2VbkaKvff3y9y58V7gi8QuSaZrRBkdCGCuCZ,16.85481
8118,8118,Primate #8975,Yellow,Glitch,Diving Jacket,Pritv,,Skelly,9.83,6.45,1.6,3.17,19.05,4.05,8119,2.481089784318e-08,1.6,7.3583333333333325,5,3bKqtKAkpHtnvZTG2mRsZKYw86PUU8gWxBH7LiLhY6bz,16.85452
1969,1969,Primate #5772,Lilac,Pill,Aviator Jacket,Vr Headset,Pink Bandana,Sassy,10.0,4.15,2.03,2.09,2.78,5.86,1970,2.8683545521399995e-09,2.03,4.4849999999999985,6,BgnS24ZPoePTpQ7V9vnmHYMN7EGLh3UHF1ez5M7ANcSz,16.852253
3908,3908,Primate #4119,Pink,Glitch,Studded Punk Jacket,Parallelogram Glasses,Cig Hat,Tnt,9.83,6.45,1.65,3.0,2.03,7.88,3909,5.02042734963e-09,1.65,5.14,6,HjamU74qLVtaa3RsDQxcbmzZP1J7R6Uu7nRjpZoic7Hm,16.851217
3554,3554,Primate #5820,Pink,Glitch,Tri-Color Zip-Up,Enucleated,Thin Mohawk,Sassy,9.83,6.45,1.6,3.87,2.0,5.86,3555,4.60120721184e-09,1.6,4.935,6,F2G3YN9fz8NoFvQXjUYHxKmQRf4wuxNoqRDEcpQpTkGC,16.850225
1054,1054,Primate #6697,Pink,Scarred,Casual Zip-Up,Slashed,Tactical Helmet,Cigar,9.83,9.13,2.02,3.19,0.91,3.85,1055,2.02613542438307e-09,0.91,4.821666666666666,6,6MfrcDn6JJ4o9cXJBm4B9DoLH18LMwP16o3uhdXxujeD,16.848143
1960,1960,Primate #8211,Red,Caution Tape,Striped Tee,Thinking,Aviator Helmet,Bubble Gum,10.48,8.89,1.48,4.32,1.0,4.8,1961,2.859234287616001e-09,1.0,5.161666666666667,6,47Mv31wxTzLxh8h4RszogVkBMbrr7xMvbFJn9SoroWh7,16.841791
1079,1079,Primate #5441,Purple,Test Dummy,,Eyeball,Stunt Dummy Helmet,Tnt,9.66,4.17,2.04,2.85,1.11,7.88,1080,2.0485067772254403e-09,1.11,4.618333333333333,5,36CaS4SCtViKK1aUojJzxvpveXQjmz2vbL71uA9S52Rf,16.840694
1341,1341,Primate #8582,Mint,Caution Tape,Alchemist Jacket,Parallelogram Glasses,P-Cap,Snake,10.15,8.89,0.98,3.0,1.7399999999999998,4.94,1342,2.2802965534439998e-09,0.98,4.95,6,DRvjozjY7yqpCHqE9ZkkztbBcvJfnfF6sH2tTSFpqWYq,16.840143
8592,8592,Primate #2299,White,Glitch,Layered Jacket,Pritv,,Skelly,10.19,6.45,2.2,3.17,19.05,4.05,8593,3.53643634186425e-08,2.2,7.518333333333333,5,6NdYR1eccVVVQvwcPt3syR6K2uLwvW1ztb6HfnxoBQ3g,16.837122
5142,5142,Primate #7337,Purple,Glitch,Football Pads,Questionable,P-Cap,Amused,9.66,6.45,2.45,3.75,1.7399999999999998,7.07,5143,7.0421108207625014e-09,1.7399999999999998,5.1866666666666665,6,ASVgqNa7XGjcxYEo53PRnMvbJbTmFcpDE8ripSdSMvCm,16.835735
1163,1163,Primate #6631,Orange,Tribesman,Studded Punk Jacket,Striped,Camo Bandana,Jngl Grill,9.85,6.68,1.65,2.87,1.46,4.66,1164,2.1199094283443998e-09,1.46,4.528333333333333,6,2DeoNcQS4sDPSpgUTX5ft36wnh95ea2uNcgemp9MVpDS,16.835123
1403,1403,Primate #9238,Yellow,Caution Tape,Bouncer,Cougar Glasses,Pom Beanie,Banana,9.83,8.89,1.69,3.08,1.83,2.82,1404,2.3474313373951448e-09,1.69,4.69,6,FuAFkr3xureqZi9b7QitG4jy3gNtvHh9FM6u88jipMwE,16.83124
1324,1324,Primate #9782,Green,Test Dummy,Championship Belt,Baller Shades,Anonymous,Excited,9.64,4.17,1.24,2.95,1.43,10.79,1325,2.2688943423088798e-09,1.24,5.036666666666666,6,4k1zv5qKZ58uiJXQejwEjvvp9SPMzSQva4bYMYecmpny,16.828981
7917,7917,Primate #2846,Orange,Caution Tape,Varsity Jacket,Enucleated,Crown,Content,9.85,8.89,2.43,3.87,1.4500000000000002,18.05,7918,2.1552638200057127e-08,1.4500000000000002,7.423333333333335,6,gDLPkUyKuW2fTxqc7RgVosAV3A7vE5sy6PGdKwQ6zZi,16.827791
934,934,Primate #1192,White,Scarred,Sleeveless Hoodie,Stitched,Unkept Hair,Tnt,10.19,9.13,1.95,1.92,0.69,7.88,935,1.89389592602496e-09,0.69,5.293333333333333,6,HnRtoBZ1nY83uEPhfhXEzPcvTazRRkK5bNUggoQBvwcD,16.827635
2821,2821,Primate #9121,Mint,Glitch,Turtleneck,Reading Glasses,Drummer,Sassy,10.15,6.45,1.48,2.95,2.21,5.86,2822,3.701684308413001e-09,1.48,4.85,6,DqiaxARTn7E8g5nYPXxoXnkHUrZh8ppw4mmLvFPNTgfn,16.824266
1544,1544,Primate #6797,Green,Pill,Casual Zip-Up,Cougar Glasses,Braids,Cigarette,9.64,4.15,2.02,3.08,1.97,5.09,1545,2.4958083022980804e-09,1.97,4.325,6,DhipxTNrbivdyJpMWrjfzw72Vs4nvZVVBr65L7sgru34,16.818066
1738,1738,Primate #5213,White,Test Dummy,Prisoner Uniform,Meth Scientist,Skate Helmet,Content,10.19,4.17,1.89,1.83,1.0,18.05,1739,2.652774530080501e-09,1.0,6.1883333333333335,6,5qQBH6iemUwC9q4gafaSHry2DByf7Pfs3gm1JYAwLK1W,16.816648
2270,2270,Primate #7273,Green,Pill,Cyber Zip-Up,Flip-Up Glasses,Hippie Hat,Content,9.64,4.15,0.89,2.78,1.77,18.05,2271,3.1623534298722e-09,0.89,6.213333333333334,6,8ovjxfyNHUo6hsaFJuyvJM3gRn4o4spzX2KNToVf6Jsj,16.816038
8367,8367,Primate #9965,Green,Glitch,Suspenders,Monocle,,Pipe,9.64,6.45,2.11,2.8000000000000003,19.05,4.24,8368,2.9671402285728e-08,2.11,7.381666666666668,5,ER7V3KgdqwnoPqqycq54LLukVHBi8q2kGGjRpi27h3vN,16.811203
1723,1723,Primate #3059,White,Mutated Zombie,Striped Polo,Eye Patch,Pilot Helmet,Bubble Gum,10.19,7.57,2.13,3.02,1.11,4.8,1724,2.64375268667424e-09,1.11,4.803333333333334,6,5Q9KaWYrJDyhjtfzgMuUBSs91xFATmtJUsZ6ohhgu9Cf,16.807802
7894,7894,Primate #3972,Red,Tribesman,Cyber Zip-Up,Bone Mask,,Dumbfounded,10.48,6.68,0.89,1.96,19.05,9.1,7895,2.11699677029568e-08,0.89,8.026666666666667,5,5r97TJH6qseN3xBazNSKa44Nn9Qxcu2KvHZ8uedGYrLF,16.807064
2930,2930,Primate #7921,Purple,Robot,Racing Jacket,Polarized Sunglasses,Racing Helmet,Amused,9.66,8.790000000000001,2.02,2.82,1.12,7.07,2931,3.830045344884865e-09,1.12,5.246666666666666,6,5HKTL5B1621bRqngT6VqVQ61RWhHfQSvJjJWiafSdzzD,16.806376
3662,3662,Primate #1477,White,Glitch,Striped Tee,Eyeball,Beanie,Dumbfounded,10.19,6.45,1.48,2.85,1.87,9.1,3663,4.7176256157030026e-09,1.48,5.323333333333333,6,5U7cu4dmLDTrLybh33LNUUg93kFqzgWupagqFRGQFTaF,16.805365
3258,3258,Primate #5871,White,Glitch,Suspenders,Reading Glasses,Hippie Hat,Sassy,10.19,6.45,2.11,2.95,1.77,5.86,3259,4.2433538845819504e-09,1.77,4.888333333333334,6,Bp3G48q6ShnB4TDEzCxubySZa2U9YGSrhaABMVDmoox4,16.8009
1213,1213,Primate #840,Orange,Robot,Tiger Robe,Thief,Arrow,Cigar,9.85,8.790000000000001,1.61,1.97,2.0500000000000003,3.85,1214,2.167363714968375e-09,1.61,4.6866666666666665,6,y2PJ6JQvK85f4mnmHcx1DxVdnE7n8qZXmvYsrhcRP2o,16.798944
1438,1438,Primate #8231,White,Stone,Championship Belt,Aviator Goggles,Headset,Cigarette,10.19,7.79,1.24,1.97,2.42,5.09,1439,2.388541004651384e-09,1.24,4.783333333333333,6,B6NNcGZz2HJYqNR6AFoJWKfaL9ZUnkTeovZEqCihfC5o,16.797518
9095,9095,Primate #4185,Red,Naked,Varsity Jacket,Slashed,Guzzler Hat,Content,10.48,19.21,2.43,3.19,1.98,18.05,9096,5.577351305872103e-08,1.98,9.223333333333333,6,8HtBNUYtXFaVkekZQVFFW6ujEFq4NgeeYrfcpJKc8m4z,16.795996
1558,1558,Primate #5725,Blue,Stone,Racing Jacket,Hockey Mask,Pink Bandana,Stitches,10.37,7.79,2.02,2.11,2.78,2.62,1559,2.5078186399054167e-09,2.02,4.615,6,BnrudaBM1tiovUkBRvVCV7ZrKkn8E6JjZuGAW4GZqVZt,16.794886
