,Unnamed: 0,name,Background,Body,Clothing,Eyes,Head,Mouth,trait_5_rarity,trait_3_rarity,trait_0_rarity,trait_2_rarity,trait_4_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
4676,4676,Primate #5911,Red,Naked,Championship Belt,Polarized Sunglasses,Pom Beanie,Bubble Gum,10.48,19.21,1.24,2.82,1.83,4.8,4677,6.183747789096961e-09,1.24,6.73,6,DBidqNYYDwRSrJqFywvQFzWdayUKpWYaRUqj49UzyGUK,14.795119
2513,2513,Primate #4410,Green,Caution Tape,Vest N Tie,Superstar Glasses,Outdoor Hat,Skelly,9.64,8.89,1.83,1.88,2.8400000000000003,4.05,2514,3.3912600759676807e-09,1.83,4.855,6,56KAwMwx3uPSEVVk4jQygaXfDDwExJEpPKyTVKVL21RY,14.794122
5068,5068,Primate #9420,Red,Scarred,Army Jacket,Wide Eyed,Racing Helmet,Dumbfounded,10.48,9.13,1.5,4.7,1.12,9.1,5069,6.8751248966399994e-09,1.12,6.005,6,DsaiLMm2ZH2YndXVPevQ3mAXL7ZYCKSqSB4S3GcoEWds,14.7939
2851,2851,Primate #7555,Orange,Caution Tape,Tri-Color Zip-Up,Bone Mask,Outdoor Hat,Bubble Gum,9.85,8.89,1.6,1.96,2.8400000000000003,4.8,2852,3.7434636718079995e-09,1.6,4.99,6,5Nc1ipnvk3nfEoTyzFoJdtVQgiMCnuvVbmpxHruWG395,14.793806
2759,2759,Primate #9911,Lilac,Mutated Zombie,Iridescent Windbreaker,Striped,Reggae Braids,Jngl Grill,10.0,7.57,2.09,2.87,1.72,4.66,2760,3.639472363911999e-09,1.72,4.818333333333333,6,6LQXZAa75jxeAkSasjELNxawZG7hPYAcAg62rf1sKShq,14.793149
5038,5038,Primate #7914,White,Mutated Zombie,Basketball Jersey,Questionable,Hippie Hat,Dumbfounded,10.19,7.57,1.46,3.75,1.77,9.1,5039,6.8025046245975e-09,1.46,5.6400000000000015,6,3F3WUpFYbWspCFCpY98TLL9apczPprbDqEZCRTAb2QC8,14.792929
2548,2548,Primate #3490,Red,Robot,Exoskeleton,Monocle,Drummer,Vampire,10.48,8.790000000000001,1.44,2.8000000000000003,2.21,4.18,2549,3.4311463029043198e-09,1.44,4.983333333333333,6,8Gy7p8UBbHNVKm5p544vzHJ6PNggrfSjpt6S85Rtjga6,14.792613
1740,1740,Primate #3180,Purple,Pill,Striped Jacket,Eye Patch,Unkept Hair,Content,9.66,4.15,1.76,3.02,0.69,18.05,1741,2.6538179720976007e-09,0.69,6.221666666666668,6,CXAwU52gZCCh8QhaKhpxssLZ7WYQrQtpNnurvFmDEdPL,14.79258
3811,3811,Primate #925,Pink,Tribesman,Fur Coat,Cougar Glasses,Red Fedora,Cigarette,9.83,6.68,2.25,3.08,2.11,5.09,3812,4.8872375906508e-09,2.11,4.84,6,AJFwjLdvyMtQZszAMnaXk1S9DkBNki9ovPC8zNV61koz,14.792352
3279,3279,Primate #9133,Yellow,Pill,Sleeveless Hoodie,Squinted,Hippie Hat,Tnt,9.83,4.15,1.95,3.85,1.77,7.88,3280,4.2716576517615e-09,1.77,4.905,6,59rRKQGiDaRK7ubeiTtHdWcfxAypbKqXQxEQ3To1JE9P,14.791482
2874,2874,Primate #9566,Purple,Skeleton,Cardigan Sweater,Slashed,Arrow,Jngl Grill,9.66,6.3100000000000005,2.03,3.19,2.0500000000000003,4.66,2875,3.770795536860661e-09,2.03,4.65,6,79LWagvV7ESLYmoSosm87Pqjqa27v9gT1zRE4HrvTwns,14.791369
2271,2271,Primate #3051,Red,Scarred,Knitted Tee,Jngl Intestines,Pom Beanie,Cigarette,10.48,9.13,1.95,1.82,1.83,5.09,2272,3.163056369192721e-09,1.82,5.050000000000002,6,EpmqHDbwJK79JXdZRJZN2v6uf56rPr9ib2WQXyDrifzn,14.791163
8226,8226,Primate #5391,Blue,Skeleton,Sliced Cutoff,Bone Mask,,Amused,10.37,6.3100000000000005,1.55,1.96,19.05,7.07,8227,2.6773816280213097e-08,1.55,7.718333333333334,5,3tMa2TvdPM1kCAt4N8nQyQVdY9qY5tJuEBR6BN864aRJ,14.791032
9473,9473,Primate #2989,White,Glitch,Aviator Jacket,Superstar Glasses,,Content,10.19,6.45,2.03,1.88,19.05,18.05,9474,8.625017244806551e-08,1.88,9.608333333333334,5,GnNxmbjVoDvAGa36ysQRzgZTvvznypqqSevqUAGD3ugA,14.790944
8221,8221,Primate #5428,Red,Naked,Prisoner Uniform,Bone Mask,Guzzler Hat,Content,10.48,19.21,1.89,1.96,1.98,18.05,8222,2.665317308135328e-08,1.89,8.928333333333333,6,ECQgsc217nJMLXxR6TqDTi1j1ocVQpsE41sVm81DJevN,14.790836
8276,8276,Primate #6558,Orange,Intestines,Tri-Color Zip-Up,Flip-Up Glasses,,Tnt,9.85,4.23,1.6,2.78,19.05,7.88,8277,2.7820349008415996e-08,1.6,7.565,5,FbrqRLLRd7ChzwDZe3oCWrBhAb8cQK7ToV9Uj5tZoqcy,14.790761
1878,1878,Primate #3374,Yellow,Robot,Half Zip Pullover,Crossed Out,Spartan Helmet,Amused,9.83,8.790000000000001,1.29,3.37,1.05,7.07,1879,2.788500437354835e-09,1.05,5.233333333333333,6,9HTbiP2dhnL2RinfHvapftkLqvGsiNmSrF7NyA6adG3F,14.789685
