,signature,type,source,tokenMint,collection,collectionSymbol,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price,image
23,cZ9jWvLE1frLJXCo1p3z8BNbQkovE2GAgZAHLP2W24puY2aEB3zhJEpTGN5YKFGqeixSiA3LuFpvoDE5ZAibVtD,buyNow,magiceden_v2,2w2XGYyenpYiLmSgvdVKFAngy7q5SW4ePfU8nNTAFiEa,solana_monkey_business,solana_monkey_business,139038720,1656214935,9z2yJFQLLVX7uoMtK4AX6EJnKGc5KyMdda3WeLGdX7h9,,ByAQaHJA2UWvSYQDqfgL4jMtpfEqLxHGyazuQDoXJgJ1,,200.0,https://arweave.net/LXQUs6HLtWYrSakYtVrdrQtCRxw4Od_HW-HWbJPZLu0
24,t5SkoXfNgLvUUvhC8d4uj5brYd15SUeDAGpZEn3QHKZ4C4VfyyZ4he3VTvwKezop7g6nCGK5zTUjGvGKSX8pEG5,buyNow,magiceden_v2,2taztJqFriLSiqgv1NRjCvjvGM7NHhsAu8mWt7Z9Mbo8,solana_monkey_business,solana_monkey_business,139035737,1656213317,CTvK4wcanoi1FWwWdJD4wzvc18NWkzucr2kAzZpa8EHi,,3DJVHEvXwRLpCqN5p5W1eYwCQ1ZkK8EySx9qja9w1im2,,200.0,https://arweave.net/GS4SLPHyKbQ5LDjKG_LZmaT_6Sp9hj5o2Mbcq7bgHuc
25,4Q1uXGAvZEiMuj91d1rvywtFjZih6T4vFewyiFw5SYQj98MTaUGsUcGeFfJAvNpFtRrcmtsswadiPXARGaxZvNS7,buyNow,magiceden_v2,HNfNob2Nn9LCogDf6md1mvhtXFGLneiyb9p58sXfdWFp,solana_monkey_business,solana_monkey_business,139033500,1656212106,Hofjjopnnn59hpKYQgy33WQ9qbPReyVFQQTXgYGswKAL,,G5jKYXg196BVXhYowGwMFC14tSFYif5nk23dZVxP9hi4,,200.69,https://arweave.net/4twGjnQ_dCgp8z3s4k8l7b1W0QWlkDQzWNR53miguM8
26,5yt98auoqLdmRucsWsvpLdYGyKzPJy26u7Zo2FHUA3P99g1ZixaxxFdQjMUGRzTmU1dUenDAS2S3D6AoD1JkwgHj,buyNow,magiceden_v2,BrXiRq49f8sv1yzEBtZZsiBQewUgNLDY7cQJrtHBKSo9,solana_monkey_business,solana_monkey_business,139033352,1656212016,8Ss24Vx5Fkf2bgLPsoqMiP1pfAeUmfLqS5M9hAEq5jt8,,4Aa5YAp8U1ER1wD8WnMsvM1L9EQiMF3vWkwGTD14m8g7,,188.0,https://arweave.net/BzL6xTW3v-emyFxi28FAoOMUdTsPNC3tAfOep_pWztc
27,4uvGdyoQ8Sm1p39U9kWazQg2euRyGQ13dop6dPfcnUCoAMfNMNBJQEZxpWSpwQDpkpZYzWV45d2CtNKqL6NAo3mh,buyNow,magiceden_v2,6hUQTtcVndNzfP7e8F2z66De7UjwPYyV8KFD5fALkor6,solana_monkey_business,solana_monkey_business,139032803,1656211637,CbfnKaPwSPE45ApwN7VWrQhjSYHvQbRNoR7nCcxqCBmb,,FPqZPuc1dJcepaec4qyghHVQZbQSXHRWnFEQgcuUjKgi,,189.0,https://arweave.net/OcOKU-eoTDSjQ1raD_rJYhG9ka3atkUkGjm_D9Fl4Io
28,3kmK7aYaP6XvVMQ7LujvfVDRmZJ5mppkvbohTqnAtfdvDzHpudpJipcFR5Q8jeDe5TUTQiAG1KCA6JAQro3AMfN1,buyNow,magiceden_v2,4gk4hoCo3Vh4EcyFxExUkJrHxk54L9QtkSZrRm9bW7Ge,solana_monkey_business,solana_monkey_business,139030967,1656210586,EaT2kVKt1Wz14GxLhzXCRatY6U8ygxDGMptXYT83HPHx,,4mwVBwQVgJBezRmsHh6ty2pQ4mZKyuMyvJtJoyGEDm4m,,204.0,https://arweave.net/QCXPYjTCV25YJwsSJMJEjKd1pIxzT9Hej4Yzj-_jRO4
29,5jewiPo411YA8ZhMiduzNLLrGxX29o31DgaQFXg2f8RQTt6DBxkTvNjf5C8YhgLCZmYjN3JoMZEJWnX6FSurtfyr,buyNow,magiceden_v2,3WLTwiPy73DjDNig1axhx2ieTpjsZpCVCDWhi2i2w7wk,solana_monkey_business,solana_monkey_business,139030210,1656210152,GWxBSiSD9nxD71GCLqYKbwUpduVzvYFZmSSJ6WUUi2Do,,3fUADBhPyx1Q1XPLfEPVLYhq66Nv3BSQisy5iiJ7KvpS,,220.0,https://arweave.net/MM5yGltXA-LVNP9Nxlqc6gLbYlxDbi4NiL9o3j_YCnA
30,5X6FgceKQzLwa2TiZrDw7RLB62avjE88xW1Ya41sxXLLh4E5cCDrmZR56tiH3jNoWsLgCGBRtCtTAJmqrBpYvG2P,buyNow,magiceden_v2,BebyWPyBgFNrpGjEGd788rgVLyBn7q2UaeHHUzmKsYgP,solana_monkey_business,solana_monkey_business,139029288,1656209655,2mdUSGaTXcNGKNXs5cPURZAc6euP9jNtEkS7JPVr4hEp,,8B5TpRS3fxjcfhv2RzCFthPaKkz32xkhVBe2AZoiEH2L,,185.0,https://arweave.net/35OhZNSUP7JHJZBWBAWE2fGtAjY8sqMUYy3qB9C5se4
31,35EKjcz3UmWSTFnavtibDPRinApksSGaYTP7DSumeFLcap8VSwov9ST5Yha35AksuCSkuESpQBHDkyieWwetEgKT,buyNow,magiceden_v2,2LSNexNJiX33d94m4Ypqr6LyzpkDzCznNGYrn9EbEXNH,solana_monkey_business,solana_monkey_business,139028808,1656209400,2mdUSGaTXcNGKNXs5cPURZAc6euP9jNtEkS7JPVr4hEp,,G1R8JVQd8TY5gvMXknhGRyhW94jpzVYHYG1hgjeJ1uUs,,185.0,https://arweave.net/Of_qKGBwhD-Ed-_WsxaAnspQESef8tvxtDMPWveoOrc
32,4RVgaT9fpndgM11w61NobUrNPEwjF8EMuaNeXcNzW26UwzHgCTq9A4DfJikCxanaqy4zMdG6fonwaQcmpTdPQfvx,buyNow,magiceden_v2,36unxqUehfWcNwBpmypjqzSSkvVF8cXqqjE7dZkSeUsU,solana_monkey_business,solana_monkey_business,139028269,1656209102,2mdUSGaTXcNGKNXs5cPURZAc6euP9jNtEkS7JPVr4hEp,,7Ld9bHTxhjnd9NYyYdMGim8ucaadLLTzGT6MxD8Eu4ds,,184.0,https://arweave.net/Sq13MQ_VZ07KSg1q5v1Q3UVcq-KeHMT-JgFcknChnvY
