,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
93,2rjzuiciCejiSbfvRgFLHM3jLzF2Qt8MZ4gwv1gySmTHSz4eK75LZrQ2frkn1FAShT4x8wT2yKJgLe2L5e25XG1M,buyNow,magiceden_v2,DamyPeDuhks5H7qMZrJWyTR3YPqyCupCpuqQN1pLPC9B,degods,122915539,1646085493,8719phTB2XXRSR8wFohFvvFYoaCoSpbHniwiemuzTAVr,,FPGd7zePHejSeR69bDQHnCeHeaYrRgmA7UeU3epTjKUX,,31.7
94,5G2yy4xaFAh9TzrUeUUwoZehZpVyV2WiV8MhHnXbYJdkHQJXwf5UVou9DyGzjbiHDxURex8GGhwb6LCR8FYpFkwz,buyNow,magiceden_v2,WHiTeApjqLLBE8AjYYpVGfwctPNyeHJ9DPa7P2KrcCq,degods,122914271,1646084715,AGSxHPeU29ntH25bG8HPXNT6wbuwoVi2vus72Vx2uvyx,,GUrwkzyp4Kwow6jsC7qn1Vz43VjPi5ULX29WfKPDdi6d,,30.0
95,dLbDnyhbwgvPnAx78xjg2MyYHyZaRQzoK6QiBnPuWukqmjzWELe1epuiZm3q6W6U16iehTj4Jj7LPY1YdBcFhnS,buyNow,magiceden_v2,5d9WxaUktNmeExPqbdC36hsaGJc5Vvg2XCuahzyTywN8,degods,122911593,1646083000,7NSEq32kDXttoGt4pFpuj7tRJxafaZtssF3Hdq5Fd5B7,,CKtgTLwFpne5WFvrwbp1BiivJAJsVToPSkSiTPMDqEDb,,27.5
96,5Af9ifNc329PHNCwWhBCToLEJqpnCAdS4bFUUwQaicyPbqXBXbwTPsUTjhP9SBbC2L7rDw1NqW9Kx89GFTnZr9jU,buyNow,magiceden_v2,whrA6dSu6BZHzwcqGK2RjQdQjqCHUuW6PBCu335p4rv,degods,122909847,1646081891,EkHFPPHSodf4bbRBJMDZGkznu9WJVWRzA22bMRRU74wq,,CKtgTLwFpne5WFvrwbp1BiivJAJsVToPSkSiTPMDqEDb,,27.0
97,2teCxVgjzkXqsKnhBvyyrp1hmoFDWn39MnkzFETajP4a3jQVwzKYEvtG6ggKJQEsmAZxaonoxQLVzhXyZ8gM1fdo,buyNow,magiceden_v2,GafMkyQJcqP2ttTFYW2j6kAgSyMqdvKbtkFVF1xexgSv,degods,122907217,1646080312,CHXCkfoTnNG25FiEyk5VbPFaEW5FW5Kr5S4nx7QxfgBU,,6kaVWTUU21z4nzTWKUPChfn5cqn79uTAVBRAjp6JDStE,,31.95
98,dNcU38xTauZq9gPbgSGMN7NfKQV1ZEpZSKFG7UBwFgJEqPfyQ2b87wpR4DfYrHkB4ZEx7cJxKd1bSDJBzzwtN9J,buyNow,magiceden_v2,DbHsW7hnE2dopRc4S1SxXaoAz9XkcHMYTH8R6EvNtaGv,degods,122901677,1646076991,DBfKKfwK44LKUZaCrfsvHrb6zxk4A1fJrUG9QYK25wZz,,6naaKCquqLuQnaHGkNwh3dhoiz4SiGTzUMPEcAvuk6tA,,32.0
99,5detqx9TRiiGAd1QS5LmLTLuDvUbFtMDtjxkdSE1C3eoRa3QAL4tVv83qytxNJgUG79J41d1UJ2W2ANumJgo3qwu,buyNow,magiceden_v2,8cb9XKFYVTVzey78EYK3pVNzteuaguZQEpnZRcLnmNv4,degods,122899411,1646075626,A3wx5M4gAGxLtMp8fy7nRDerFuMJUjb1nrvvEaYcEoXa,,GUrwkzyp4Kwow6jsC7qn1Vz43VjPi5ULX29WfKPDdi6d,,36.8
0,2ujfbTPLTRfXCwtsk9f6CRjBcfqThhNgxax8Gj8E5XBsmKR67ooCh7KxWGchR6BjKRegUxFRxijvqgd183o4GaTu,buyNow,magiceden_v2,3MhseC9iFR2VV4chp9DYLHKzGfK4yWH3LPeLvfFHPJFp,degods,122899119,1646075446,8RFACUfst117ARQLezvK4cKVR8ZHvW2xUfdUoqWnTuEB,,GUrwkzyp4Kwow6jsC7qn1Vz43VjPi5ULX29WfKPDdi6d,,36.8
1,4XuNUaxwM6kpw8C3q26jg6p1aUGnvZsXPH3hmPZwLHVeS6cDwiNb4tCbWgvFe5u1jCDAV1F4XNbievTqfvEwsNj8,buyNow,magiceden_v2,EX7kLJz1KvfaccKg18UTERK6rdVLZw4kRmYyhJcP5UpS,degods,122897519,1646074478,GFG2H3SjaC4uvKDiFq6DMZCoETzMzz6AtgNDKhxCfVFP,,FzBopLeKbkxd7DPFhyhanHp6DVtU8E9rjLzQgQYU6ARm,,31.69
2,4mePdGjgMYRyShRZ3D2u8nqrYchD1RDJvb71RWF8hDvAiSEosttgBSyJP9etFC2SbAbsD8drjFj6NUR9YtQhGo5v,buyNow,magiceden_v2,DQeD6KyqwPDSsawwE6nsSApYWnMZPkoc38bVxxm4wDBX,degods,122896402,1646073814,2khesC6yxXh1QFqPa1bL97unLFBZhMEWCoa4ewtQCeaB,,GUrwkzyp4Kwow6jsC7qn1Vz43VjPi5ULX29WfKPDdi6d,,31.6
