,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
592,96.871994,120.0,Okay Bear #6164,6193,6,https://bafybeifcdpufpkqowoj2hhw5pzy423qfrvdmsgb35hpchnvf5na57urm4q.ipfs.nftstorage.link/6163.png?ext=png,-23.128006
215,106.64259,130.0,Okay Bear #4935,3338,6,https://bafybeiftoq5bhvgnpqpdqkwjtrkw4qiubaimfkoqwjfxdxjcdehbrupjya.ipfs.nftstorage.link/4934.png?ext=png,-23.35741
24,116.42576,140.0,Okay Bear #2325,1403,6,https://bafybeiatt4tknzckozra7f46ouwvcoig66fhmti6ueknpmnijda2vwt3mm.ipfs.nftstorage.link/2324.png?ext=png,-23.574240000000003
153,90.73482,115.0,Okay Bear #8220,3851,6,https://bafybeia3y3ygt27cgj7mmqgmrdmbkueawwaasgbogxrh7gw7vomnlzljre.ipfs.nftstorage.link/8219.png?ext=png,-24.26518
228,95.4351,120.0,Okay Bear #2432,3524,6,https://bafybeibn3yeghfcbc7qwpjblsx32uv6so2f4ivvccuobvo5sv66kavrfny.ipfs.nftstorage.link/2431.png?ext=png,-24.564899999999994
178,95.3263,120.0,Okay Bear #8388,2705,6,https://bafybeicozfilgxy6jkqt6moaidgu53czzp233ky3xfaiywxbg25flfgunq.ipfs.nftstorage.link/8387.png?ext=png,-24.673699999999997
115,95.27562,120.0,Okay Bear #5991,8385,6,https://bafybeiattngzarm3ukxxbxfv26a7rd5kfsy5rewbpl4ctdvyk6fwh2axaq.ipfs.nftstorage.link/5990.png?ext=png,-24.724379999999996
80,94.25467,119.0,Okay Bear #942,2750,6,https://bafybeicvqbabn4kcviby7s4kmvwn6ps2wk6vxeqm4tcljmbjyqtrcogjiu.ipfs.nftstorage.link/941.png?ext=png,-24.745329999999996
17,155.21794,180.0,Okay Bear #1156,9861,4,https://bafybeignqo2c4ayje56e3jejqn2timpsnupjfsyxn3sb24zlbcz7qlmk6u.ipfs.nftstorage.link/1155.png?ext=png,-24.78206
240,95.01411,120.0,Okay Bear #6380,9570,5,https://bafybeihytwzbojkpf7mzpc3cu6nfasn3toxwjyavraxf5t7agumo2wh4ha.ipfs.nftstorage.link/6379.png?ext=png,-24.985889999999998
116,100.00637,125.0,Okay Bear #8488,2875,7,https://bafybeibhvvxd23d5zrir7wqx34z3x7wvwzwnc4t7yuhzuoyxfvddpo3nem.ipfs.nftstorage.link/8487.png?ext=png,-24.993629999999996
