,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank,id,tokenAddress,collectionAddress,collectionName,imageUrl,chain
9218,Okay Bear #3376,Green,Striped Tee,Annoyed,,Polar,Skate Cap,Pouting,0.126,0.0641,0.1231,0.1309,0.0357,0.6672,0.0551,0.0357,0.6672,0.17172857142857142,86.9588539813893,9219,3376,732JCzwRjUEE5W3VA7D1JzpjwLdTyppPXmfevhyUrVA,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiaf3xea5l4zyknck43h4fznaxfzysxvbh66dwwknhtjdxcu64hmqa.ipfs.nftstorage.link/3375.png?ext=png,SOL
9219,Okay Bear #6778,Yellow,,Happy,,Panda,Runner Cap,Okay,0.1222,0.039,0.2305,0.0788,0.1965,0.6672,0.0339,0.0339,0.6672,0.19544285714285717,86.93946637769957,9220,6778,NAEQmw4qDsVPRqtJKtzfDGsx3SJpCYQDCxhEJQwWQxq,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifkbof7edswdfjwxgnnwuaw7tjzktjw35utt223ochwtc2z2rhcfy.ipfs.nftstorage.link/6777.png?ext=png,SOL
9220,Okay Bear #9507,Yellow,Sleeveless Tee,Happy,,Grizzly,,Proud,0.1222,0.144,0.0528,0.0788,0.0286,0.6672,0.2698,0.0286,0.6672,0.19477142857142857,86.92778491534735,9221,9507,B3YyHcWM2Mgtf2rg43teNmkTFYj8M6AASkDHx3f99PAg,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifge5aw4dynsfxl5n4rgde66djy7so4bjccxyvidjptqeq7ymoo4u.ipfs.nftstorage.link/9506.png?ext=png,SOL
9221,Okay Bear #8279,Warm Grey,,Disappointed,,Black,Okay Beanie,Pouting,0.1227,0.0495,0.1231,0.094,0.1965,0.6672,0.0301,0.0301,0.6672,0.18330000000000002,86.92420501818724,9222,8279,FojWnmdCtfor269WNqYAJjWiQnSfQEYDjbafXh4KVHgU,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiczkebhuwu7x2zfnxg45peji2uk2z4twtmjpaav4gcb7scul2fxtq.ipfs.nftstorage.link/8278.png?ext=png,SOL
9222,Okay Bear #4477,Warm Grey,,Happy,,Dark Brown,Pom Pom Beanie,Clean Smile,0.1227,0.1268,0.0797,0.0788,0.1965,0.6672,0.0256,0.0256,0.6672,0.18532857142857145,86.92416083769982,9223,4477,9QaLTRQY9gzCmB5f2CRT4aRKSy9BD4RHM8F7njQicNVg,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihfxg23r2riyywc7t5uxst7wwzx3ql4ul7snatwzxz34geqv3drly.ipfs.nftstorage.link/4476.png?ext=png,SOL
9223,Okay Bear #897,Yellow,,Defeated,Aviator Sunglasses,Polar,,Wry,0.1222,0.0641,0.0922,0.0526,0.1965,0.0409,0.2698,0.0409,0.2698,0.11975714285714287,86.88670940595951,9224,897,BRtqsi4M8PPv2xxkbR9Kt5uwqEknbrovk92mycb6nL5f,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidj4qtagxh656hshac3se7ywq4lm6ej2g42nfadylezthu7mmslxe.ipfs.nftstorage.link/896.png?ext=png,SOL
9224,Okay Bear #8057,Yellow,,Closed,,Tan,,Huh,0.1222,0.1413,0.0344,0.031,0.1965,0.6672,0.2698,0.031,0.6672,0.20891428571428575,86.8825875537899,9225,8057,FLS9UAkEUBiQXtem6EgCJ8PtFbNqS16mRGeCZTSbYkef,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiah2inxo4hgvlthqdls7ybjelh2oovo6jqr2tkqwr4hynlkz3tdoa.ipfs.nftstorage.link/8056.png?ext=png,SOL
9225,Okay Bear #1949,Grey,Faded Denim Jacket,Disappointed,,Grizzly,,Okay,0.1261,0.144,0.2305,0.094,0.0193,0.6672,0.2698,0.0193,0.6672,0.22155714285714284,86.8700729099612,9226,1949,BESJ8TtQWfg7Z4HLjbta2gaVQg2MhuVb3bgnGhQuc9hy,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeicbwhky2j5cqsy2nqydkmlcfpejevsy7zlmltqnpoekxnggidtbym.ipfs.nftstorage.link/1948.png?ext=png,SOL
9226,Okay Bear #9067,Blue,Black Tee,Disappointed,,Dark Brown,Sweatband,Okay,0.1252,0.1268,0.2305,0.094,0.0383,0.6672,0.0352,0.0352,0.6672,0.18817142857142857,86.86790088751735,9227,9067,2vSwUxTJ7RpXXCoBxoVyXu8nvas5WcDvebqoA4CefWbZ,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifqjlsgadwr2cpas7xhytp3gwbff2fw7w7tby3gsfbvz4ohxipohm.ipfs.nftstorage.link/9066.png?ext=png,SOL
9227,Okay Bear #2454,Purple,,Defeated,,Sand,,Oou,0.1187,0.0818,0.0271,0.0526,0.1965,0.6672,0.2698,0.0271,0.6672,0.20195714285714286,86.85562325966143,9228,2454,GmmsgasMkUSS9U2WGbPBGmQW78cyWkYV9iy85MGWLr48,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeibn3yeghfcbc7qwpjblsx32uv6so2f4ivvccuobvo5sv66kavrfny.ipfs.nftstorage.link/2453.png?ext=png,SOL
9228,Okay Bear #4425,White,Sling Pack,Sarcastic,,Tan,,Wry,0.1265,0.1413,0.0922,0.0965,0.022,0.6672,0.2698,0.022,0.6672,0.20221428571428574,86.85075609578105,9229,4425,9vggc2ouAvgefnpKZ5tR8gwcuFPUaATrmKLUUh4LcdMb,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihlwkjbzju74vth23wacmsz7szbolfu3675qzau7rdn4vguygpleu.ipfs.nftstorage.link/4424.png?ext=png,SOL
9229,Okay Bear #1091,Cream,Double Jacket,Tired,,Dark Brown,,Okay,0.1326,0.1268,0.2305,0.0454,0.0251,0.6672,0.2698,0.0251,0.6672,0.21391428571428572,86.83862760400912,9230,1091,AcF4T4CA8oB9xAc3xR2uyjLm3qwP3qvNT6c3yiqURavR,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidirz6erur4v3vktk3jy5lde4lowksovfkfaeag23tsnucsspexly.ipfs.nftstorage.link/1090.png?ext=png,SOL
9230,Okay Bear #4485,Purple,,Okay,,Green,Visor,Clean Smile,0.1187,0.0456,0.0797,0.2023,0.1965,0.6672,0.0309,0.0309,0.6672,0.19155714285714284,86.7949485982347,9231,4485,pYxPUwBd5QfcMwjuvrSbCnwnHsngBBLnVzHq3D4jhEj,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihfxg23r2riyywc7t5uxst7wwzx3ql4ul7snatwzxz34geqv3drly.ipfs.nftstorage.link/4484.png?ext=png,SOL
9231,Okay Bear #4561,White,,Spirited,,Polar,Classic Cap,Wry,0.1265,0.0641,0.0922,0.062,0.1965,0.6672,0.0337,0.0337,0.6672,0.17745714285714284,86.74223159561876,9232,4561,FEAoAorJzti8qoG7X6Cy3derH2WJZsWK1Bzt2RzpikTi,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeicjkm6lheaexgtk5pfr42xa7bid6gparddvyc43y5zfrkfa3cyape.ipfs.nftstorage.link/4560.png?ext=png,SOL
9232,Okay Bear #6643,Purple,,Sarcastic,,Ginger,,Ohh,0.1187,0.0606,0.0243,0.0965,0.1965,0.6672,0.2698,0.0243,0.6672,0.20480000000000004,86.73551637657954,9233,6643,46srQfhFi3LEdJaJqjS829FhwM5usqxuMbsEh1zhtVB8,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiev44sczxuj64au2iqmlahp4bx6ian72uvg4lb7spjq6tbg7nhha4.ipfs.nftstorage.link/6642.png?ext=png,SOL
9233,Okay Bear #7698,Blue,,Sad,,Tan,Pencil,Proud,0.1252,0.1413,0.0528,0.0507,0.1965,0.6672,0.0379,0.0379,0.6672,0.18165714285714288,86.7007048573049,9234,7698,BSWws1D76nkiDAQrgvLAqeFUaSnQ7AM19CcUeBQcxp9D,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidcpvfs5tuwbjuwt3pxrllcs6f26noretixdaax65oaucelzfuwpu.ipfs.nftstorage.link/7697.png?ext=png,SOL
9234,Okay Bear #6380,Blue,Utility Vest,Annoyed,,Grizzly,,Pouting,0.1252,0.144,0.1231,0.1309,0.0197,0.6672,0.2698,0.0197,0.6672,0.21141428571428575,86.6612326446203,9235,6380,SK6VagREXueqAwEZRxUmLo2F79uSYFDLhDTBmYBj8b2,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihytwzbojkpf7mzpc3cu6nfasn3toxwjyavraxf5t7agumo2wh4ha.ipfs.nftstorage.link/6379.png?ext=png,SOL
9235,Okay Bear #1831,Warm Grey,Striped Tee,Disappointed,,Andean,,Pouting,0.1227,0.0377,0.1231,0.094,0.0357,0.6672,0.2698,0.0357,0.6672,0.1928857142857143,86.65338757229819,9236,1831,BDQeJtykDHG6RCrXty8nDi28uJpYoDioiH4WhF8PsvXh,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeigiwajprlwkjzfxaexns4xiewoh5f7euj4b5juh7nsso5bpuxmbci.ipfs.nftstorage.link/1830.png?ext=png,SOL
9236,Okay Bear #9548,White,Autumn Sweater,Okay,,Tan,,Okay,0.1265,0.1413,0.2305,0.2023,0.0175,0.6672,0.2698,0.0175,0.6672,0.23644285714285715,86.61193502476631,9237,9548,7XbopsxyeUJZES1kiyRv7U4d4wx6W2BGrTUKSiqBuJxT,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihds3yzrk4vt6wyhhpxpyisyq2h6nygep6njwesdaeyt3hy5cf4wm.ipfs.nftstorage.link/9547.png?ext=png,SOL
9237,Okay Bear #3699,Purple,Striped Tee,Interested,,Albino,,Pouting,0.1187,0.0456,0.1231,0.0671,0.0357,0.6672,0.2698,0.0357,0.6672,0.1896,86.5974855609015,9238,3699,87Z5GWFwbx7QYVzH52Jpus13aPBtawvmpWfektSWkkU3,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeibdktefbadhcttkm3cqp5ghb26utngxpolkvfgu3nmcfpgk4d2fem.ipfs.nftstorage.link/3698.png?ext=png,SOL
9238,Okay Bear #2494,Blue,,Defeated,,Black,,Huh,0.1252,0.0495,0.0344,0.0526,0.1965,0.6672,0.2698,0.0344,0.6672,0.19931428571428572,86.56472364032278,9239,2494,DoouMbeexRVQgN1HciFpaV5duJ5CLeQNkgDfnrNn4Cid,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeickme6bmkora47xisln47mz5wckpcx7pjvotouo37dpkdyzcznxvm.ipfs.nftstorage.link/2493.png?ext=png,SOL
9239,Okay Bear #3075,White,Woven Sweater,Okay,,Dark Brown,,Clean Smile,0.1265,0.1268,0.0797,0.2023,0.0208,0.6672,0.2698,0.0208,0.6672,0.21330000000000002,86.56395210394457,9240,3075,GucB6uvZVgqGyyUKJ8jHfomW5sXk6Bmg93okFg9pUSiN,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeigenl4bqzjff76bgtllm3eyslgpwamd34rb43pwezuyaeqamnetji.ipfs.nftstorage.link/3074.png?ext=png,SOL
9240,Okay Bear #4393,Cream,,Happy,,Albino,Classic Cap,Pouting,0.1326,0.0456,0.1231,0.0788,0.1965,0.6672,0.0337,0.0337,0.6672,0.18250000000000002,86.54658485701383,9241,4393,4iZuPoqKUoVMXVcv4mXA5xSfAjsPo4aCLhLZibYr3QpC,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeigmaruz52sy4ccjm5hgnrkhv5n5ygu6z76kxqor3dvbf6pel5f2wq.ipfs.nftstorage.link/4392.png?ext=png,SOL
9241,Okay Bear #4888,Blue,Faded Denim Jacket,Okay,,Sand,,Okay,0.1252,0.0818,0.2305,0.2023,0.0193,0.6672,0.2698,0.0193,0.6672,0.22801428571428572,86.51242953206624,9242,4888,9RzTCDZEziZrNGa5yY1gNNSHoCWds9rgGDUdQMgE8GQM,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeie6ym6thyv6rjx3xxoezqdr4jf2sgqqfwsilfyvzke7ddlmkabyve.ipfs.nftstorage.link/4887.png?ext=png,SOL
9242,Okay Bear #8460,Warm Grey,,Disappointed,Aviator Sunglasses,Albino,,Clean Smile,0.1227,0.0456,0.0797,0.094,0.1965,0.0409,0.2698,0.0409,0.2698,0.12131428571428571,86.51051862328853,9243,8460,39vhkrV9em4r65EBKQNXLT6Hb1nitUNx8n1xAVoWEn9d,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeicxvlclblb634azuufi7rixzatzmkr7f3eh7qymrpdtaq2xzggzfm.ipfs.nftstorage.link/8459.png?ext=png,SOL
9243,Okay Bear #1287,Blue,Okay Tee,Sarcastic,,Green,,Okay,0.1252,0.0456,0.2305,0.0965,0.0273,0.6672,0.2698,0.0273,0.6672,0.20887142857142857,86.45342091404714,9244,1287,9eFQYCKakUuQV3y3nFfMb2N8XWPPYbqJHQ8ZWeJ8naQT,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeieetyo3mkphauurwnzij2wyyyfuo3amukuqnrasvp4mnkvl46hg74.ipfs.nftstorage.link/1286.png?ext=png,SOL
9244,Okay Bear #1833,Grey,Olive Windbreaker,Tired,,Dark Brown,,Okay,0.1261,0.1268,0.2305,0.0454,0.0256,0.6672,0.2698,0.0256,0.6672,0.21305714285714286,86.44922613987761,9245,1833,6tN1Tj9QhpZuxHBLCNz87nEHnatvMN67pqErsjRzFk4R,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeigiwajprlwkjzfxaexns4xiewoh5f7euj4b5juh7nsso5bpuxmbci.ipfs.nftstorage.link/1832.png?ext=png,SOL
