name,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank
Okay Bear #619,0.1252,0.1413,0.0922,0.0965,0.0139,0.6672,0.0133,0.0133,0.6672,0.16422857142857145,184.90225949493083,3150
Okay Bear #995,0.1265,0.1268,0.1231,0.062,0.0104,0.6672,0.0212,0.0104,0.6672,0.16245714285714288,184.86654121114023,3151
Okay Bear #1851,0.1222,0.0641,0.0922,0.0526,0.013,0.0407,0.0337,0.013,0.1222,0.05978571428571429,184.80801590708208,3152
Okay Bear #1709,0.1261,0.144,0.0211,0.026,0.0178,0.6672,0.0379,0.0178,0.6672,0.1485857142857143,184.79336246521183,3153
Okay Bear #7796,0.1227,0.0276,0.2305,0.0965,0.0204,0.6672,0.0133,0.0133,0.6672,0.16831428571428572,184.78931112980104,3154
Okay Bear #3086,0.1261,0.144,0.0113,0.2023,0.022,0.6672,0.0339,0.0113,0.6672,0.17240000000000003,184.76525900106998,3155
Okay Bear #8918,0.1252,0.0196,0.2305,0.1309,0.0202,0.032,0.0303,0.0196,0.2305,0.0841,184.7436936336837,3156
Okay Bear #5071,0.1222,0.1413,0.2305,0.026,0.012,0.6672,0.0239,0.012,0.6672,0.17472857142857143,184.73351862288018,3157
Okay Bear #6908,0.1326,0.0426,0.0253,0.031,0.0197,0.6672,0.0337,0.0197,0.6672,0.1360142857142857,184.7332255326837,3158
Okay Bear #2859,0.126,0.0606,0.0116,0.2023,0.0315,0.6672,0.0279,0.0116,0.6672,0.16101428571428572,184.67533499740406,3159
Okay Bear #9402,0.1261,0.039,0.0528,0.1309,0.02,0.0282,0.0256,0.02,0.1309,0.060371428571428576,184.67354600812743,3160
Okay Bear #7341,0.1261,0.0276,0.0797,0.0965,0.0315,0.0211,0.026,0.0211,0.1261,0.05835714285714285,184.67277905366134,3161
Okay Bear #5194,0.1265,0.0641,0.0243,0.0788,0.0268,0.6672,0.0146,0.0146,0.6672,0.14318571428571428,184.6537655493018,3162
Okay Bear #4191,0.1227,0.0818,0.0233,0.0671,0.0139,0.6672,0.0303,0.0139,0.6672,0.14375714285714286,184.6410300507908,3163
Okay Bear #2422,0.1261,0.0259,0.0797,0.031,0.0161,0.6672,0.0337,0.0161,0.6672,0.13995714285714284,184.62956139077937,3164
Okay Bear #3059,0.126,0.144,0.0211,0.0788,0.1965,0.0211,0.0175,0.0175,0.1965,0.08642857142857142,184.5899532357517,3165
Okay Bear #8472,0.1187,0.1268,0.0797,0.0526,0.0124,0.0438,0.0301,0.0124,0.1268,0.0663,184.568296330515,3166
Okay Bear #1179,0.1265,0.0818,0.0253,0.1309,0.0161,0.0374,0.0352,0.0161,0.1309,0.06474285714285713,184.55404838472205,3167
Okay Bear #7589,0.126,0.0495,0.0233,0.1309,0.0116,0.6672,0.0551,0.0116,0.6672,0.15194285714285713,184.55092031591127,3168
Okay Bear #777,0.1261,0.0426,0.0151,0.094,0.0208,0.0409,0.2698,0.0151,0.2698,0.08704285714285713,184.50110600397133,3169
Okay Bear #2160,0.1187,0.144,0.0922,0.0507,0.0075,0.6672,0.2698,0.0075,0.6672,0.19287142857142858,184.47748065269172,3170
Okay Bear #5119,0.1227,0.0818,0.0098,0.2023,0.0383,0.6672,0.0339,0.0098,0.6672,0.16514285714285717,184.46585479151256,3171
Okay Bear #6570,0.1187,0.0456,0.2305,0.0671,0.0268,0.0171,0.0256,0.0171,0.2305,0.07591428571428571,184.45141384362938,3172
Okay Bear #3669,0.126,0.0259,0.0151,0.026,0.0357,0.6672,0.2698,0.0151,0.6672,0.16652857142857141,184.4497052336699,3173
Okay Bear #8989,0.1227,0.1268,0.2305,0.2023,0.0075,0.6672,0.0412,0.0075,0.6672,0.19974285714285714,184.4219220602015,3174
Okay Bear #5647,0.1326,0.0641,0.0797,0.2023,0.0091,0.6672,0.0309,0.0091,0.6672,0.1694142857142857,184.3836777259345,3175
Okay Bear #8699,0.1265,0.1413,0.0211,0.0965,0.013,0.6672,0.0301,0.013,0.6672,0.15652857142857143,184.38280764888745,3176
Okay Bear #2677,0.1252,0.0495,0.2305,0.0341,0.0256,0.6672,0.0122,0.0122,0.6672,0.16347142857142857,184.38166271369843,3177
Okay Bear #4857,0.126,0.0606,0.0243,0.2023,0.0202,0.0374,0.0266,0.0202,0.2023,0.07105714285714286,184.3704785799851,3178
Okay Bear #7258,0.1227,0.1268,0.0151,0.094,0.1965,0.0121,0.2698,0.0121,0.2698,0.11957142857142856,184.3399938616806,3179
Okay Bear #6627,0.1222,0.144,0.0211,0.0788,0.0197,0.0183,0.2698,0.0183,0.2698,0.09627142857142856,184.32415004356213,3180
Okay Bear #6459,0.1252,0.1413,0.0211,0.031,0.0204,0.6672,0.0256,0.0204,0.6672,0.1474,184.2966995297958,3181
Okay Bear #6577,0.1227,0.144,0.0098,0.0454,0.0251,0.6672,0.2698,0.0098,0.6672,0.18342857142857144,184.207539370318,3182
