,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
17,4tzTjH4yKqKxpir5k5jpsUV9QiU8UBpMjy4zCbo9fkKeRozZYTGkag9pjTkmArhXpoSW3eLtCKknPvZ94RLS8JRk,buyNow,magiceden_v2,9VTUcvysxSruJaWryNrjA41SkdcLBZwvEurA1EnCo3Kx,trippin_ape_tribe,135207969,1653527479,5oHRjREA2wWXuQdvty6fpUurTCYRDYZdPeE3FxyJGkAi,,EASJNeCVmUUpGj796UN5vmM8JKJKxMLKYbLuZ7Nvp5Bg,,50.0
18,3sKAE4kUwtmrM5XSLPrzs8WdBBMCz3qPHTfLfCp1UumHqtQ15PfizHR242Tqsbub6DEmZ7NrSmDSvACXvJ7BQVV7,buyNow,magiceden_v2,D2bmJafRThRvFeBeGXoG1kHzgM6Ts3E7SJ8ho6ytQTbw,trippin_ape_tribe,135207908,1653527435,4m5w6cCqmTVkdA7gFVg5H6SSHqXo84SbDB2TL71omrrN,,6rWsXDfv8bTd48oS3e8rUL8dQWshn1f1tzAfU39BbQH6,,47.9
19,5Gqb4JE6MCdfVZ59cLkjUh6CveCEbqCWHX664pLxGBw8mJa2z2dww55ZDVhhCM5CfghpAMGhS8WAJBq2AWSnZNgK,buyNow,magiceden_v2,GXS4ZAHMQEVyo35US8gYwhJuPLP4BQefj4WpCBaiSqmk,trippin_ape_tribe,135207604,1653527216,6mzm4QJxs6hM8ATEmAAVEAXbe2KdZwvWTASoSRWCoVvS,,8jzanCF2GAx2bdEEBt2Cb2DrHuAUk6tTKKn5dmWNoXFK,,45.0
20,5UhXHJPdwJvaAwq1eghsdwoUsLomt4yS5iubug2jsLvBY36zMG59EoKDw2BzSFMMws41M6tfWU8pVuKgevsNySeD,buyNow,magiceden_v2,BWQydJuxnSfpiPaR4E1BKVEqZeopDr15CxLeaEcVd54W,trippin_ape_tribe,135207475,1653527124,EMXLBP8EDjgiqhuVvKvv4nbgh8i1P3MR6UwtKqXumNsT,,Bxx6JMQeLx7cNqpczxjmpnEzGbEzYfNeHkGJ7RzPFABD,,60.0
21,5hNJ6eriCw2zCkYyyfnHwLf1E3JcyC2RS5yeTFoa5y983TL5MmJJNmTDEaRYLooeU9S1qNzVGepnrFdJn2KkGpG2,buyNow,magiceden_v2,CZN6fargJe3rV6xxHpJkSoawDGstVADrddWigWRYm4T4,trippin_ape_tribe,135206543,1653526452,5sNFzuVzey8CHM16ZG4SzvEs7n2nXi66n7e6MCnR8dNu,,J6tonycXjZSiP9gQ5cDPYjKMdYtc3oxp7GgKfFmHhkc1,,47.25
22,yQc5ndZ74y6UbvVskhQyCBKyz3HjqW3m13eRWaqfkhFX2N9mvZTFqQitVtAGiUT4McL23yCJeHcUFUDtpV7iWR2,buyNow,magiceden_v2,9pAGNMJbM28DHXYEc6UhwNnWLNro5aFsdAdrJ2gcF3LY,trippin_ape_tribe,135206509,1653526427,5iEJVM1i2mgRtgiywutxXZjbbpghMtfiVeBXhdwxNWah,,3vumRYjWScBBKNpW2ooLHGk6YoRXraT1Gjhixe5gr2bk,,51.0
23,36mZMRe95QdDSnqWUNEAQJppPrqyhE8sTXFi4krBbeG7NoPyptYgY2GR2Q5ucRXLnJk7B52LLSvHBdbtSEXCHvbj,buyNow,magiceden_v2,4tJMVmBA6YF9LCvxoqWXFBhFgsQPDVtCt6afMH9fkPEc,trippin_ape_tribe,135206197,1653526203,BBMfJ9HrCEXT1GiUcgC1BRfsLx5HSeSduZ9BJRkCrrti,,Cks2cZF61BH1prHTdSjL5f5DTQehzEiHLqiPCDocWfBp,,45.0
24,5YZwtPXeDn4V561hej8RFqLyzU3YU3qu62U6zB5HJpWddRQ5kDEhESag3GS7R3jrYKmVwCUj7ZrsmV1SQwmySDo9,buyNow,magiceden_v2,yqpiM8yMANXNqrj9yQYo1jsMWbkm4Y6GfqkRWuhR3dd,trippin_ape_tribe,135206157,1653526174,FA1KujCLEtZ3ZjXsPgvmQWo6dMpCo1mFkRHNbjKVJFSC,,5sTjiRMCoRe7Lpw4Cnw7NSmPWzw1pKCtbmidnMZ8Qj9e,,46.42
25,5BGYqt6U5eYHoEY2wTqoegVxcCCg2hjT6yxGRvViSXbwyYornjjdWeSQ1UbDpR13Deo5hDxn5hG8bvA13ABr8wk5,buyNow,magiceden_v2,2j8zUZVpGXZEZekpqEmHwujHV1mfJRhF9ksaxJQXVHDL,trippin_ape_tribe,135205950,1653526026,3BjsJSKzfKotRHwTUc3zxjZQE1HSx2cZyHGgE6fmU8VP,,36EFyzjauUfAWwoadBF7GaLabd41DH3F4AA6nyeN29sh,,47.0
26,4GFMHS62vfk4MFdc7sBvg68yiXGBNzK6rkapg7CokRQjNDk6SSSg7o9JXZbkFrFHWumvVoXvShTN5yUYqq45E3Rh,buyNow,magiceden_v2,3YFZQeXy8Q4TquUWqxZMGZizQ7pVhbJJHoWWsfccULNC,trippin_ape_tribe,135205893,1653525984,ChmXFfyqbnAEPdnQaMnYJJQfUcgLut7RUFM2PnF9GegY,,HAT1mMKyckm7kRjckejpQdGupmhA4uyXYyzMyTsSakZg,,46.0
