,Unnamed: 0,name,Background,Body,Eyes,Face,Hat,Outfit,trait_0_rarity,trait_2_rarity,trait_3_rarity,trait_4_rarity,trait_5_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
5398,5398,Trippin' Ape Tribe #3941,Lime,Phoenix,Alert Red,Eyeball,Solar System,Coogi,6.16,2.44,7.79,7.689999999999999,3.94,3.68,5399,1.3055045099987966e-08,2.44,5.283333333333333,6,C1TzWsDjzFUMkaFouXyk7qQpcVgbcMtK7MceNqVHy4YX,18.297087
9432,9432,Trippin' Ape Tribe #9973,Lime,Blue Tryptamine,Blue Shades,Fangs,White Bucket,Purple Tank,6.16,10.68,7.13,5.67,7.46,5.7700000000000005,9433,1.1448252359616447e-07,5.67,7.145,6,4uqVg7tucySANQJkd78gAbKCYhjsb4U4dUeBmcQLszC8,18.296547
5041,5041,Trippin' Ape Tribe #1551,Lilac,Feathers,3D Glasses,Eyeball,Shroom Cap,Groovy Green,6.43,2.27,3.7,7.689999999999999,4.23,6.4,5042,1.12430783030976e-08,2.27,5.12,6,5StezjacNDM4PLQAoyHXBwyrX8EnFa2MHdxPUUs58ocC,18.296263
7216,7216,Trippin' Ape Tribe #8097,Dark Shroom,Blue Tryptamine,Alert Blue,Tats,Fedora,Purple Tank,2.48,10.68,8.27,3.5900000000000003,6.45,5.7700000000000005,7217,2.9265666513490082e-08,2.48,6.206666666666666,6,8WMMyynuZ7GS6uWgU6H9yvsscsmnj3AwPVLH3TWZxt9v,18.295877
8112,8112,Trippin' Ape Tribe #3984,Purple Swirl,Drippy Blue,420 Glasses,Shout,Valhalla Helm,I _3 Chorles,2.39,7.99,5.36,7.91,5.92,9.71,8113,4.6540054774202754e-08,2.39,6.546666666666668,6,GKBHHDpkcYSezgPB3fVEkhBW1R1nN9fmRtc3C6SBHGqV,18.295853
5135,5135,Trippin' Ape Tribe #3142,Green Shroom,Blue Tryptamine,Aviators,Quiet,Mind Blown,Brown Robe,1.9,10.68,3.7,9.86,4.61,3.44,5136,1.1739858451449598e-08,1.9,5.698333333333332,6,4TPH1Rmmki1p9gLRbb1fSNykmnkv9MDDUwMaAurLSXKc,18.29581
9890,9890,Trippin' Ape Tribe #1733,Watercolor,Marble,Spaced Out,Quiet,,Groovy Green,4.47,10.78,7.1099999999999985,9.86,9.26,6.4,9891,2.0019985579528703e-07,4.47,7.979999999999999,5,4yQ6vEmHPUbh2S1PRnLbdZoXFzJ3FgfcftrHUPYQxw3J,18.295694
8961,8961,Trippin' Ape Tribe #7401,Beige,Marble,Blue Swirl,Snarl,White Bucket,TyeDye,6.36,10.78,3.45,7.93,7.46,5.6099999999999985,8962,7.850003450096808e-08,3.45,6.931666666666668,6,HQ7bZXRH7NKN3Dzy3tQigfJjEWuAokDSoS2c5nLeE2xF,18.295242
7771,7771,Trippin' Ape Tribe #5531,Watercolor,Blue Tryptamine,Rainbow Bliss,Face Melt,White Bucket,Groovy Green,4.47,10.68,6.4,2.66,7.46,6.4,7772,3.88024535678976e-08,2.66,6.345,6,7vpwqHq5FfnzzbsFrtDzXCRfL9jAwgCfgmA1BXi19Txq,18.294136
8596,8596,Trippin' Ape Tribe #2465,Light,Drippy Sol,Sus,Eyeball,Valhalla Helm,I _3 Chorles,5.09,3.66,7.5,7.689999999999999,5.92,9.71,8597,6.176286131666403e-08,3.66,6.594999999999999,6,BoFHQR1aDiFwpaJJWnq7kXtkCW3GUcVwuXYdfCN28dx8,18.294123
