,name,background,clothes,eyes,head,mouth,neck,skin,speciality,specialty,version,background_rarity,skin_rarity,speciality_rarity,clothes_rarity,neck_rarity,head_rarity,eyes_rarity,mouth_rarity,specialty_rarity,version_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank,id,tokenAddress,collectionAddress,collectionName,imageUrl,chain
20,DeGod #6952,Deep Ocean Blue,God Beater,Rainbow Laser Eyes,Medusa,None,None,Ape,,Forehead Diamond,,0.1232,0.0448,0.9998666666666667,0.047466666666666664,0.5170666666666667,0.0033333333333333335,0.0061333333333333335,0.5281333333333333,0.027066666666666666,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.3192533333333334,557.4393358291716,20,6952,CcWzMRxnKpHcXqXohWW16bfdsYpkq72ZB63ovWjQXvJh,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/6951.png,SOL
21,DeGod #4919,Deep Ocean Blue,Godly Tunic,None,Medusa,None,Solana Chain,Zebra,,Devil Wings,,0.1232,0.0772,0.9998666666666667,0.022,0.0061333333333333335,0.0033333333333333335,0.5158666666666667,0.5281333333333333,0.047466666666666664,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.3218666666666667,556.5845065857712,21,4919,5XQRLG3QM4syUAy6UFzCgMAHKqbPW1W2HjeijMoqHwiy,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/4918.png,SOL
22,DeGod #6485,Brown,Mythic War Armor,Clout Goggles,Headband,Clown Nose,Christmas Lights Chain,Nebula,,Devil Wings,,0.1292,0.0054666666666666665,0.9998666666666667,0.0044,0.06693333333333333,0.0516,0.040266666666666666,0.023066666666666666,0.047466666666666664,0.8954666666666666,0.0044,0.9998666666666667,0.22637333333333337,543.6309021026647,22,6485,GaWuCNfwCnEEXCY29BK83ZAoWSmNfA7q7dsayS2GmZGj,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/6484.png,SOL
23,DeGod #5789,Brown,Silk Robe,Steampunk Goggles,Mythic Helmet,None,Diamond Necklace,X-Ray,,None,DeadGod,0.1292,0.0436,0.9998666666666667,0.012,0.0416,0.0032,0.019466666666666667,0.5281333333333333,0.5205333333333333,0.07053333333333334,0.0032,0.9998666666666667,0.23681333333333338,520.9097706999678,23,5789,2hHkEmsXhsgwNEZw8tb8VC95n2gErTGpkMmbB6Hr1Qf3,6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr,DeGods,https://metadata.degods.com/g/5788-dead.png,SOL
24,DeGod #9452,Hell,Divine Robe,Laser Eyes,Godhawk,Party Blower,None,Turquoise,,Forehead Diamond,,0.0276,0.09533333333333334,0.9998666666666667,0.0032,0.5170666666666667,0.030133333333333335,0.014666666666666666,0.08613333333333334,0.027066666666666666,0.8954666666666666,0.0032,0.9998666666666667,0.26965333333333336,513.1956294605006,24,9452,4mDG5GchamCoPhYWqgKHzAimAdHfXoE76Da1PjxTNsiS,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/9451.png,SOL
25,DeGod #3033,Purple,Druglord Suit,None,Fade,None,Mythic Mamba,Zebra,,Mythic Wings,,0.12746666666666667,0.0772,0.9998666666666667,0.03333333333333333,0.004933333333333333,0.05173333333333333,0.5158666666666667,0.5281333333333333,0.0044,0.8954666666666666,0.0044,0.9998666666666667,0.32384,506.0526991903013,25,3033,B8Haz9sAXLmM88Wd1WNfARe5Cw2xuy8AoFxBbg1k5pWo,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/3032.png,SOL
26,DeGod #9808,Deep Ocean Blue,Bloody Beater,None,Medusa,None,None,Acid,,None,,0.1232,0.006933333333333333,0.9998666666666667,0.0236,0.5170666666666667,0.0033333333333333335,0.5158666666666667,0.5281333333333333,0.5205333333333333,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.41340000000000005,504.5244429994763,26,9808,Ag73LjBHoR7a9rfwXeEviQp2KeFok1vj7oAhP2tDcy5p,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/9807.png,SOL
27,DeGod #9225,Deep Ocean Blue,Hazmat Suit,None,Medusa,None,None,Transcendent,,Black Eye,,0.1232,0.009066666666666667,0.9998666666666667,0.0188,0.5170666666666667,0.0033333333333333335,0.5158666666666667,0.5281333333333333,0.0488,0.8954666666666666,0.0033333333333333335,0.9998666666666667,0.36596,499.97709614284724,27,9225,A9DBnNmQGzaUwYwYdwUAxa66AofqHGutzxw7Xim8oWnm,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/9224.png,SOL
28,DeGod #8724,Teal,Divine Robe,Night Vision Goggles,Bloody Horns,Hipster Beard,None,Pastel,,None,,0.13013333333333332,0.029733333333333334,0.9998666666666667,0.0032,0.5170666666666667,0.021066666666666668,0.014,0.0788,0.5205333333333333,0.8954666666666666,0.0032,0.9998666666666667,0.32098666666666664,491.3759570659129,28,8724,FqgmN9EMt1YFPE33kGfjf36JWZNCVj2a2km7WxupJJvB,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/8723.png,SOL
29,DeGod #8344,Brown,Divine Robe,None,Heavenly Crown,None,Friendship Necklace,Ape,,None,,0.1292,0.0448,0.9998666666666667,0.0032,0.06426666666666667,0.0088,0.5158666666666667,0.5281333333333333,0.5205333333333333,0.8954666666666666,0.0032,0.9998666666666667,0.3710133333333333,479.6278189682568,29,8344,9JvVw4589vaTmTrfhju4ZqbJ7YBuRejqUBRLrP2D5Da7,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,DeGods,https://metadata.degods.com/g/8343.png,SOL
